Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
SVM RBF,97.36041752885457,98.51755273802398,87.97106341933929,86.8669962004215,1.9849636224106424,95.01847745750186,97.2034347832026,77.13683719101675,74.57987475036653,13.580628377355405,95.65217391304347,97.56037373534723,80.03162055335969,77.83587135651202,1.917224350893126
SVM Linear,99.96965098634294,99.98309382924768,99.85185185185185,99.83562219316912,0.367559950066194,94.4138950480414,96.89237875108282,72.16965837132034,69.57580733442572,9.075753978170034,96.23188405797103,97.88322117963445,82.85356805800839,81.05488324163818,2.845006987081311
Logistic,98.66501126592173,99.25201664818857,93.79583762180782,93.28161870948999,1.1434422987361406,95.38285291943829,97.40351479222261,79.08691308691309,76.82837523163498,10.951484156482884,94.58937198067632,96.94286862911511,76.48936170212765,74.13682732436327,2.8123567054361507
Random,100.0,100.0,100.0,100.0,0.0,95.02217294900223,97.30922291578254,66.58818283166109,68.41000545006361,11.752988928254025,96.81159420289855,98.25744878188743,81.25808161102279,81.3344578235356,3.4535697124583775
KNN,96.72304225870235,98.19200688127857,82.50977694770896,81.0003695176565,4.228788115638464,95.26459719142646,97.38252785146217,74.99727423114521,73.03958911019545,6.69452290068075,97.3913043478261,98.55282378762382,86.75883806116364,85.47312404697027,2.6838424320908385
XGB,100.0,100.0,100.0,100.0,0.0,96.35846267553583,97.99498519265548,80.06515175591929,78.82462364867817,4.160928660937511,97.10144927536231,98.39855272384992,84.72476841411374,83.49361482022344,1.7958612728607097
