Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
SVM RBF,97.33016048190555,98.50125408636038,87.78330965754162,86.63528796014597,0.6240722850213096,94.0532150776053,96.66204488605328,72.58559577677224,69.60688595324403,4.722510704829372,94.97584541062801,97.19992084101746,75.54851652412628,72.79916719678798,3.067139727431435
SVM Linear,99.96965098634294,99.9831223628692,99.84962406015038,99.83344100743145,0.3724372296471813,95.26681448632668,97.3698279889202,76.07358365979056,74.03772681317278,5.33853671398142,96.03864734299516,97.81530629628165,78.77357114199219,77.02055255730065,4.6043118227998745
Logistic,98.90780337517819,99.38931231754354,94.8363077213662,94.35849406799476,1.6538259005167613,94.05321507760532,96.6494832484851,73.0907432740538,70.51930915800858,7.951672187333595,95.94202898550725,97.73410067749691,80.59196617336151,78.36824775690343,6.531268219130895
Random,100.0,100.0,100.0,100.0,0.0,95.14486326681448,97.37481009628303,67.53779618127444,69.72739647465775,8.770336235873788,94.97584541062803,97.28182694957287,66.79411764705883,68.98996302734936,5.717579104585605
KNN,96.1770359129995,97.90010107905155,78.68223097362628,77.34770175357525,2.2105185376075633,94.9039172209904,97.20786969757754,70.6923995956254,69.05640924900385,8.033226215943769,96.32850241545894,97.98322709219262,79.53337953337953,78.38910461149698,2.75687363922893
XGB,100.0,100.0,100.0,100.0,0.0,95.38876570583889,97.45574394485723,75.08705488060328,73.45362746271735,5.779182272128917,96.1352657004831,97.86721512170739,79.41594631068315,77.68593910488683,3.2234262516082106
