Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std,Ratio,Random
svcrbf,100.0,100.0,100.0,100.0,0.0,93.36047037539576,95.75329406073024,84.68223443223442,81.78837325325227,7.491327939899076,93.0952380952381,95.54433352906634,84.66571834992888,81.12622237648341,1.615884833490851,3.0,0
svclin,100.0,100.0,100.0,100.0,0.0,89.74672094075079,93.07219268213376,80.2061152061152,73.50004459086841,8.4804203172985,91.66666666666666,94.34016260162602,84.19638242894057,78.76800785121159,4.044693136926237,3.0,0
logistic,100.0,100.0,100.0,100.0,0.0,90.35730438715514,93.52101977935816,81.04738504738505,74.77589703129983,6.939518591126176,92.38095238095238,94.83291783133136,85.48277809147375,80.5400314363087,2.18823650422486,3.0,0
random,99.9245283018868,99.9498746867168,99.8473282442748,99.79822459135409,0.4511835299201027,92.45590230664858,95.2006114492241,82.30538714159404,79.20020287550862,10.163586586282117,94.28571428571428,96.33571647596143,87.02009702009703,84.65222076141913,3.536788843288999,3.0,0
knn,100.0,100.0,100.0,100.0,0.0,88.561736770692,92.19787555759574,78.53516143299426,71.07366512705752,8.062784219243225,91.1904761904762,93.95615455550652,83.7301418113758,78.2293264558701,2.907367099877724,3.0,0
svcrbf,100.0,100.0,100.0,100.0,0.0,94.47217441193344,96.6568526200937,84.01598483912166,82.11454716699816,3.755840445579973,95.57692307692308,97.2905962551116,87.95856585330269,85.95516084434668,1.7589642721966985,4.0,0
svclin,100.0,100.0,100.0,100.0,0.0,93.27022375215144,95.7710573158844,83.52431881843646,79.36875366755832,5.686863833192583,94.6153846153846,96.63652946477472,86.49870454748503,83.22757351677278,5.366444513432445,4.0,0
logistic,100.0,100.0,100.0,100.0,0.0,93.75215146299485,96.07772510074828,84.59848484848484,80.92493385138671,5.673428382247455,94.42307692307692,96.50514586536518,86.1922048456365,82.75555806996816,3.5781646525417767,4.0,0
random,99.93993993993992,99.9624765478424,99.84962406015038,99.81297765392696,0.4181946791307925,93.27022375215144,95.97950623849906,79.02320473147964,77.73745928025467,9.753650649472087,93.46153846153848,96.02057583539332,81.67219851430377,78.77417450590136,2.759125965422237,4.0,0
knn,100.0,100.0,100.0,100.0,0.0,90.6368330464716,94.16781388346917,76.0970250169033,70.62685384255047,10.679696065432356,95.76923076923076,97.386512440784,88.89160988775879,86.58875148992261,1.692873138557054,4.0,0
