Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std,Ratio
svcrbf,100.0,100.0,100.0,100.0,0.0,86.18538324420676,87.36702414121768,84.45505962747343,74.49574351569316,13.786075089350563,87.14285714285714,87.87878787878789,86.3076923076923,74.88991392926646,2.862017367247016,1
svclin,100.0,100.0,100.0,100.0,0.0,84.99108734402851,84.86239317458731,84.79448621553885,71.03627565865777,11.265741165938397,84.76190476190476,83.0965580965581,86.08693316140125,70.67137641509802,10.184733874858866,1
logistic,100.0,100.0,100.0,100.0,0.0,86.20320855614973,85.80494563416764,86.37781954887218,73.23093045851829,14.004865537791197,86.19047619047619,85.01431815937592,87.18436130771825,73.19383006997124,8.810558443343865,1
random,100.0,100.0,100.0,100.0,0.0,86.79144385026737,87.40911072362685,86.0080201157215,74.41717182720396,14.074592818256347,90.47619047619048,90.46985534790413,90.46954595791806,81.06308610529047,3.374418919648559,1
knn,100.0,100.0,100.0,100.0,0.0,83.10160427807486,81.09833971902937,84.57091707091706,67.98420407736282,8.921032858402473,83.80952380952381,82.82051282051282,84.68686868686869,68.08239166038736,3.9614873621727242,1
svcrbf,100.0,100.0,100.0,100.0,0.0,92.76734693877552,94.83043072301385,87.93855606758832,83.89389546333011,2.7744298172875284,84.44444444444444,89.31531457478161,71.3672863084628,64.72587221408806,3.921083993736799,2
svclin,100.0,100.0,100.0,100.0,0.0,89.95102040816326,92.4493078079416,84.83963585434174,77.72535378443956,11.539797109010221,81.26984126984127,85.83978109276768,72.26534201917073,58.286967428043624,4.54526131657407,2
logistic,100.0,100.0,100.0,100.0,0.0,89.95918367346938,92.49831844916204,84.70753619140716,77.79378847979736,6.311844091893036,83.17460317460318,87.52498458309941,74.10480256227638,61.83932264378869,6.612795004240689,2
random,100.0,100.0,100.0,100.0,0.0,91.15918367346939,93.66964350092191,85.31490015360983,80.17062705656554,5.46348282328741,85.39682539682538,89.8788960049341,73.75309763545059,66.61965891668754,4.866098867095225,2
knn,100.0,100.0,100.0,100.0,0.0,86.35102040816327,89.47674084296474,80.47084623323012,70.58875598446113,4.405629269699719,85.07936507936508,88.67315747406175,78.0690324186058,67.00520429895133,5.730323362206967,2
svcrbf,100.0,100.0,100.0,100.0,0.0,93.37403889642695,95.75289808230984,84.82312158579907,82.22868730745503,7.243562649882174,91.66666666666666,94.73684210526316,80.0,77.45966692414834,0.0,3
svclin,100.0,100.0,100.0,100.0,0.0,90.36182722749886,93.62594541998286,80.14270493986518,74.08540226618763,9.963161484679425,90.71428571428571,93.91213452969541,80.43026891807379,74.59394208945169,2.5425535627761904,3
logistic,100.0,100.0,100.0,100.0,0.0,91.87245590230665,94.62494700850637,83.30197132616487,78.10580494133227,7.054794145781951,90.95238095238093,94.04252520760487,81.18609845439114,75.3949916248478,1.7272239192428134,3
random,100.0,100.0,100.0,100.0,0.0,91.58299412030756,94.57416274949114,81.22146300121828,76.9497171028731,8.503690944368284,90.95238095238096,94.28326583079135,78.30812324929971,75.11395957876513,6.490147240443279,3
knn,100.0,100.0,100.0,100.0,0.0,89.47987336047038,92.8751158305395,79.84785026530757,73.0868068198657,16.190894496053083,89.04761904761904,92.76785714285714,77.42857142857143,70.30058548972745,3.6464814691676586,3
svcrbf,100.0,100.0,100.0,100.0,0.0,94.2283419391853,96.53660661785986,82.39285714285714,80.57708575149734,13.901843318042598,94.8076923076923,96.84210526315788,85.40540540540539,83.44340511255375,2.968918775244075,4
svclin,100.0,100.0,100.0,100.0,0.0,93.50831899024669,95.98465133476576,82.83479960899315,79.10853653447668,13.668704021090555,90.0,93.67979837085528,75.9954959095505,69.83969990726388,5.075172083442465,4
logistic,100.0,100.0,100.0,100.0,0.0,93.50545037292025,95.95083238906734,83.40648567119156,79.65432741868048,16.161622313687555,90.76923076923076,94.16212685803711,77.92312886584016,72.21273458424865,6.076605015736368,4
random,99.87987987987988,99.92509337027232,99.6969523044252,99.6238199083007,0.51511963648563,93.26448651749857,95.9473315073794,79.9121351766513,77.47696042205997,10.50797365643138,90.76923076923077,94.52331691297209,70.63502673796792,69.53992984784848,5.5488127486293495,4
knn,100.0,100.0,100.0,100.0,0.0,93.74928284566838,96.16447257908418,83.0113112693758,79.56128762228626,9.938088216333526,89.03846153846155,93.42493806771263,67.04761904761904,62.956720738852496,3.130600653891101,4
svcrbf,99.79949874686717,99.87951807228914,99.40298507462687,99.28885595735429,0.9737740844812064,94.3939393939394,96.6910408749058,81.49425287356321,79.15430965919644,6.599049437288293,96.16,97.74111813795231,87.18933508407191,85.84064886344422,2.5593068190436914,5
svclin,99.59912280701754,99.75894501012931,98.81037585672307,98.58190379119482,0.7834390168833474,90.77575757575758,94.40399553438183,73.52563226247437,68.57651606110798,14.86903431781392,93.44000000000001,96.03666693857573,80.96124031007751,77.0657346377692,3.365497407556102,5
logistic,100.0,100.0,100.0,100.0,0.0,92.58585858585859,95.5183822945817,78.38631956279015,74.41182775231599,11.428732433037776,92.96000000000001,95.73464437505044,79.84375314607873,75.68908657057531,3.3094429302128576,5
random,99.79962406015038,99.87987974447375,99.39621781727047,99.27771433538733,0.7583119897984191,93.78989898989899,96.38041420294715,77.98145850565206,76.24793740137046,5.328949279601735,94.55999999999999,96.82851554009999,80.88888888888889,79.603205685284,2.7381248817819923,5
knn,100.0,100.0,100.0,100.0,0.0,92.78787878787878,95.67623393759501,78.16339869281047,74.0103928813564,4.6456640061285635,93.76,96.28774254543868,80.40240846017483,76.9815335710155,4.16202395760714,5
svcrbf,99.91407079237621,99.94981179422835,99.70147591200222,99.65279784212314,0.47544216549761265,94.67285587975243,96.94263616999214,79.22954918644574,76.85529339657444,5.650984199503686,96.98630136986301,98.27080438474601,88.27880512091038,87.37741020869115,1.6297591563879708,6
svclin,99.61354931007429,99.77396352655053,98.6686668061758,98.45655126907101,0.6966581247751176,92.4373710580607,95.54265734265735,74.97350291467939,70.82065280841593,6.092951955443365,93.2876712328767,96.02896984220406,78.29761418152873,74.69609056256753,7.900015854516815,6
logistic,100.0,100.0,100.0,100.0,0.0,91.92749778956676,95.24004507137997,73.31617331617332,68.91456666133185,8.210853186039994,94.10958904109589,96.50632074692226,81.22931442080377,78.16229730905295,6.741598167516589,6
random,99.87106003968803,99.92490613266584,99.5442805487,99.47151915604005,0.48245716393885274,94.84526967285588,97.06540580093305,78.73677248677248,77.61098930716757,4.8474476464055485,96.84931506849315,98.19360815192219,87.68136557610242,86.78230630652163,1.6297591563879708,6
