Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std,Ratio
svcrbf,100.0,100.0,100.0,100.0,0.0,87.93226381461675,89.18444760550024,86.330525981249,77.09633311926049,14.790129366748065,83.33333333333334,83.72093023255815,82.92682926829269,66.74238124719146,0.0,1
svclin,100.0,100.0,100.0,100.0,0.0,87.96791443850267,87.89475467606398,88.01591545709194,76.10595577584816,11.283969478904476,85.23809523809523,83.84466820923816,86.38651645643449,71.54352807006168,5.784729842045585,1
logistic,100.0,100.0,100.0,100.0,0.0,89.18003565062388,89.359243697479,88.96447875337819,78.38468771804627,15.076735148140315,89.04761904761904,88.30051677034989,89.69198557873987,78.78845987417621,5.324252427712577,1
random,100.0,100.0,100.0,100.0,0.0,87.96791443850266,88.29640947288007,87.58518363357072,76.24454174348853,13.123963521639256,93.33333333333334,93.16840882694541,93.48635860263767,86.87085976917294,4.17038530565129,1
knn,100.0,100.0,100.0,100.0,0.0,84.9554367201426,85.02591036414566,84.82922201138521,70.26338189138391,14.887846574789894,84.76190476190476,84.57337330848392,84.93639089214813,69.58654446195865,4.255089522089378,1
svcrbf,100.0,100.0,100.0,100.0,0.0,90.35918367346939,93.19966952703527,83.29572744645047,78.01599524720676,9.604852248897709,86.03174603174604,90.48488916711291,73.69805194805197,69.0659564338313,3.9268800065611216,2
svclin,100.0,100.0,100.0,100.0,0.0,91.95102040816326,94.00801915475829,87.69839010873167,81.81503601531963,12.168413205091056,83.4920634920635,88.18248240220976,72.54700854700855,61.799565906284236,7.771019530463557,2
logistic,100.0,100.0,100.0,100.0,0.0,91.94285714285715,93.92572463768116,87.99208676628032,82.06181565130404,11.373751882099386,86.66666666666666,90.54091476563386,77.40477319424687,69.36761916924004,2.1274517417786507,2
random,99.89949748743717,99.9250936329588,99.8473282442748,99.77370849678849,0.5060031839115363,91.96734693877552,94.24929971988796,86.60714285714286,81.68950347106131,11.301936387931672,86.66666666666666,90.86910284666247,75.28495034377389,70.48523329586955,2.2602751536715364,2
knn,100.0,100.0,100.0,100.0,0.0,88.74285714285715,91.62901818060806,82.72321593214087,74.57699586837082,13.583895286842349,82.22222222222221,87.14920303109486,71.1081081081081,58.939039803157584,6.245331289994862,2
svcrbf,100.0,100.0,100.0,100.0,0.0,92.17548620533695,94.93858538187493,82.65194200285478,78.79838836457591,3.038619748158203,90.71428571428571,94.13292389726011,77.73856209150327,74.57878523183683,4.795816577033214,3
svclin,100.0,100.0,100.0,100.0,0.0,90.38896426956128,93.49780670029728,81.35522171562216,75.59381882966703,12.69075965611317,87.38095238095238,91.52841152625395,75.21577659751227,66.88884260119544,5.706560843980549,3
logistic,100.0,100.0,100.0,100.0,0.0,91.58751696065129,94.25369246720574,83.99763677183032,79.35942483203294,7.5946225162602214,90.23809523809523,93.57475928489707,79.66556635491168,73.48098170816175,5.673733813786118,3
random,100.0,100.0,100.0,100.0,0.0,92.17096336499321,94.98801707615,82.04386640426685,78.598016416495,3.4745989966177375,92.85714285714286,95.45454545454545,83.33333333333333,80.75728530872482,0.0,3
knn,100.0,100.0,100.0,100.0,0.0,89.46630483943918,92.76647483762937,80.37320574162679,73.82820792050829,6.013631483993079,91.42857142857142,94.39143550519925,81.80158206987475,76.5670836921578,2.7562184842573867,3
svcrbf,100.0,100.0,100.0,100.0,0.0,92.30923694779116,95.34378629541263,77.77219196574035,74.65551293209892,9.846236518811875,94.03846153846153,96.37553299573604,83.20373004583531,80.7988043569631,3.646111356718869,4
svclin,99.93975903614458,99.9623352165725,99.84962406015038,99.81283764426234,0.4185077502583883,90.85771658060814,94.31793384762679,76.32706053558945,71.16798415309246,10.48914459905752,92.5,95.2308661636279,82.42797759481279,77.89183058758825,9.973144393195113,4
logistic,100.0,100.0,100.0,100.0,0.0,90.8605851979346,94.2812861872426,76.94183912120508,71.6536200810039,9.304231136769415,92.5,95.26495415573163,81.94432126139444,77.34227507527042,10.092813056106058,4
random,99.93975903614458,99.9624765478424,99.8473282442748,99.81070330648747,0.42328027460997036,93.27309236947792,95.93896677839112,80.30383409693755,77.67125140152064,10.163326641282746,92.6923076923077,95.6279680757628,77.71836007130125,76.39518269964181,4.958080142814828,4
