Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
svclin,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,94.90465631929047,97.1730698804912,73.81469656469656,71.82573343901198,14.121087594508419,94.58937198067632,96.94072424097126,76.58472479901052,74.27368971134943,5.205987378586584
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503
random,99.96965098634294,99.98309382924768,99.85185185185185,99.83562219316912,0.36755995006619396,96.11677753141169,97.88717768438211,75.83411142234671,76.25181951492877,12.438646078796918,95.55555555555557,97.56864377917967,74.15100815100816,73.26913874027471,1.3668893517597296
