Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std,Num Features
random,99.8179519014117,99.89876254250687,99.09769372927266,98.99921630029903,0.38183861440068384,96.23798965262381,97.95492130084901,76.34693193516722,77.10805064272229,11.734659970384184,95.45893719806763,97.51196440851614,74.02402402402403,72.73792910638244,2.7872682081499356,571
random,99.60560077252036,99.78093146410775,98.02429384671248,97.81574987136436,0.9737751064722979,95.99408721359941,97.82163444131609,74.9183605065958,75.37682770088887,12.276320335871223,95.26570048309178,97.41173514260586,72.28571428571429,71.29209156811584,4.160834988798512,570
random,99.72695084379455,99.84812936638662,98.6486077433798,98.50148313498156,0.709302022865536,95.87361419068736,97.75822607441083,73.90899949723479,74.50628874448928,13.39388932661594,95.3623188405797,97.46031746031747,73.33333333333334,72.0752494956608,2.7600883242395864,569
random,99.72695084379454,99.84824335712906,98.63973063973063,98.49144601306385,0.38390704855529767,96.11603843311161,97.88549224212794,76.06797385620914,76.30568732361819,11.386384136359668,95.45893719806763,97.51448395247868,73.74603174603175,72.6637690480851,2.7447709446498134,568
random,99.69655584678347,99.83130894097383,98.49164974852326,98.32982831076188,1.0293046473561263,95.87287509238729,97.75384435104877,74.40553999377529,74.67358848570566,12.727747770245553,95.3623188405797,97.46031079485725,73.32561132561133,72.09209963542612,1.7182834109956846,567
random,99.69655584678347,99.83116656157085,98.50292322091222,98.33818402165642,1.018934538439267,95.99482631189949,97.81632327418517,75.60290922359889,75.7010423519097,10.587917804828491,95.26570048309178,97.41451253463472,71.94957983193278,71.23104463133822,3.514336450956938,566
random,99.72695084379455,99.84810116966926,98.65107136906038,98.50259050030772,0.371754941983657,96.11677753141169,97.88717768438211,75.83411142234671,76.25181951492877,12.438646078796918,95.55555555555557,97.56613090067735,74.43672243672245,73.32644865880675,2.590278802638231,565
random,99.75725387409759,99.86503575379001,98.79468005155358,98.66110473738163,0.4621585254726052,96.11677753141169,97.88323044580443,76.29388153728924,76.38966576007758,12.307927376392866,95.26570048309178,97.40894305538106,72.60317460317461,71.38941075567615,3.4765460432969753,564
random,99.75734584080564,99.86506414330256,98.79694108234013,98.66479263319945,0.7451221386018984,95.99408721359941,97.81810243248606,75.35792094615624,75.5287410711793,12.18067268455738,95.45893719806763,97.51475649574094,73.70656370656371,72.64060991882212,3.650086471956759,563
random,99.72690486044053,99.84810121774602,98.64881032673648,98.50169079332521,0.7020673797752435,95.99482631189949,97.81500302105528,75.75200961610696,75.68192791053013,12.32522784116452,95.3623188405797,97.46533733924375,72.7544351073763,71.98344950508519,3.6167315927580304,562
random,99.84830091506876,99.91558323276942,99.25260913477726,99.17161009233905,0.8273413359291051,95.99482631189949,97.81589035099307,75.66260987153483,75.58167437168372,13.803870930602269,95.45893719806764,97.5122369517784,73.98455598455598,72.71476997711946,3.682732882557722,561
random,99.78760288775463,99.8818849294754,98.94733441473424,98.83130286065958,0.460085097501037,95.87287509238729,97.7573763598788,73.96597955421484,74.52167511541522,12.806640639338797,95.45893719806763,97.51448395247868,73.74603174603175,72.6637690480851,2.7447709446498134,560
random,99.8179519014117,99.89873403298468,99.09993814628535,99.00276641613202,0.6976654795501127,95.99408721359941,97.81810243248606,75.35792094615624,75.5287410711793,12.18067268455738,95.36231884057972,97.46338209080452,72.97640497640498,71.95477117883749,4.331371755802918,559
random,99.75725387409759,99.86495005652746,98.80129689164951,98.67303152837955,0.4465368096579717,96.11751662971174,97.88453727415845,76.19535936980155,76.3221016673062,13.525125087822406,95.3623188405797,97.46310954754226,73.01587301587301,71.97793030810047,3.6070938638856505,558
random,99.6966018301375,99.83139406179836,98.48684857954302,98.32246372430171,1.0479428295241606,95.99482631189949,97.81895025963294,75.29223950116446,75.54408166538133,12.44597058468529,95.26570048309176,97.40894305538106,72.60317460317461,71.38941075567617,3.476546043296975,557
random,99.78760288775463,99.88194178067596,98.94265578476106,98.82952624013205,0.9565659288236324,95.99556541019956,97.8241880890114,74.65906685906685,75.5566018574103,11.273225056357175,95.45893719806763,97.51448395247868,73.74603174603176,72.6637690480851,2.7447709446498134,556
random,99.66629879983446,99.81448822685536,98.34130781499204,98.15786041084122,0.6978782953128997,96.35920177383593,98.01923083361446,77.35690235690235,77.75620797826964,12.897277785637538,95.36231884057972,97.46310288208204,73.008151008151,71.99478044786578,2.889573683186048,555
random,99.72690486044053,99.8482433572508,98.6373636837109,98.48917419160641,0.37928328941082984,95.75092387287509,97.68917103986384,73.45315904139434,73.762844947698,13.323970116874483,95.26570048309179,97.40948599024826,72.52075605016782,71.33969476167914,4.916847257178268,554
random,99.78764887110866,99.88185649200763,98.951857255078,98.8357975003212,0.45379847030616605,95.99556541019956,97.81457042365602,75.83411142234671,75.75175372847893,12.963408415311834,95.45893719806763,97.51196440851614,74.02402402402403,72.73792910638244,2.7872682081499356,553
random,99.6966018301375,99.83122341216365,98.50061154695877,98.33319688081048,0.579933250326843,96.11677753141169,97.88717768438211,75.83411142234671,76.25181951492877,12.438646078796918,95.3623188405797,97.4628177952812,73.03242738536856,72.05760956338254,3.6663299472425828,552
random,99.75725387409759,99.8650072201685,98.79690784325506,98.66600930028554,0.4628176021939145,96.48189209164819,98.08297938998047,78.40553999377528,78.70639556585138,12.34254524030667,95.3623188405797,97.4577912508947,73.6036036036036,72.16625969372346,1.814822855954952,551
random,99.78760288775464,99.88191331886621,98.94493655682888,98.83029529898532,0.7656450470963339,95.75314116777531,97.68478237773134,74.13419913419912,73.99275978649284,15.046467165396058,95.45893719806763,97.51196440851615,74.02402402402403,72.73792910638245,2.7872682081499356,550
random,99.63590380282338,99.7976955666829,98.18157385950003,97.98899981570153,0.975820240460347,96.23798965262381,97.95492130084901,76.34693193516722,77.10805064272229,11.734659970384184,95.45893719806763,97.51726869210553,73.41923436041085,72.58458598591614,2.815309594818248,549
random,99.8179519014117,99.89873374452183,99.09966595725109,99.00529675838837,0.6949118360626501,95.75166297117516,97.69000902014726,73.37989896813426,73.77401952089554,13.572861733609543,94.8792270531401,97.20037413968812,70.03174603174602,68.78338425232626,1.8782467435025247,548
random,99.75720789074356,99.86500700351742,98.79446084288568,98.66351928720637,0.96065004231057,96.11603843311161,97.88631948674963,75.88702147525677,76.26101029477304,11.84610320882579,95.36231884057972,97.4658942871691,72.68907563025212,71.8987472459315,3.642466154955751,547
random,99.72699682714858,99.84815799652786,98.64881032673648,98.50174757182462,0.7018807512156127,95.87361419068736,97.75822607441083,73.90899949723479,74.50628874448928,13.39388932661594,95.36231884057972,97.46562242604459,72.73015873015875,71.92062038956843,2.8243157888936365,546
random,99.78764887110866,99.88191336682148,98.94726639056016,98.83126431768356,0.45998831820447317,95.87287509238729,97.75384435104877,74.40553999377529,74.67358848570566,12.727747770245553,95.65217391304347,97.62030405829879,74.85714285714286,73.89811807146575,3.08653770112359,545
random,99.66625281648045,99.8143742368434,98.34782185736216,98.16827539822083,0.3960971150979958,95.87361419068736,97.75196188210012,74.57805565016191,74.86196034755525,13.378595887733324,95.3623188405797,97.4577912508947,73.6036036036036,72.16625969372346,1.814822855954952,544
random,99.78760288775464,99.88191336682148,98.94503936609199,98.8290181770211,0.46814454383379783,95.62971175166297,97.62133566451739,72.88728813069584,73.12318474832692,13.892912420506827,95.3623188405797,97.46310954754227,73.01587301587303,71.97793030810047,3.6070938638856505,543
random,99.66629879983446,99.814431207811,98.34579664901739,98.16363600890722,0.3740675619845203,96.11751662971174,97.88889419294549,75.64590882035101,76.16584065281549,13.722430811069401,95.3623188405797,97.46057599052155,73.27680621798268,72.08707663155448,1.894016047777364,542
random,99.69655584678347,99.83128035951877,98.49384198790244,98.32790932867273,1.1822381303732332,96.11603843311161,97.88408260068162,76.13880034772531,76.32498232200317,13.026620154319469,95.45893719806763,97.51195774305592,74.01630201630202,72.75477924614776,1.7536700878192328,541
random,99.75725387409759,99.86497878282243,98.79920289189731,98.66829398392399,0.4556864878463209,96.11529933481154,97.88585755236889,75.88702147525677,76.34465128970726,11.92411507487162,95.3623188405797,97.46059000357972,73.2938652938653,72.05209036639782,3.656962847883559,540
random,99.75720789074356,99.86500729222288,98.79466342624237,98.66103224020422,0.9563626391786637,95.87287509238729,97.75026493270425,74.78649237472766,74.90950936670762,12.622383799471422,95.55555555555554,97.57142117120856,73.81487369722663,73.2080918034971,4.184255523826737,539
random,99.63590380282338,99.79761027801457,98.18834111685645,97.99017247783135,1.2794191620567128,95.99482631189949,97.81811416673466,75.39441063781834,75.5437039544482,12.352292660209795,95.16908212560386,97.35756865044463,71.87301587301587,70.70357201569153,3.9215711496241834,538
random,99.6359497861774,99.79752515731155,98.19752906629493,98.00052776444122,0.7509102005003339,95.87287509238729,97.75773982256314,73.87220666044195,74.67656272713245,12.725387857511658,95.45893719806764,97.5122369517784,73.98455598455598,72.71476997711946,3.682732882557722,537
random,99.69655584678348,99.83130882096418,98.49156356457138,98.32699357512959,0.6036419918880116,95.87287509238729,97.74631769412659,75.2462624896702,75.04735561185643,12.512086710239151,95.26570048309179,97.40893638992084,72.5954525954526,71.40626089544148,2.7294090771861503,536
random,99.75725387409759,99.86495020100222,98.80139743297636,98.66909848770467,0.736918441362596,96.23798965262381,97.95146707077956,76.83855403855404,77.30968835809581,9.137713235003273,95.55555555555557,97.56864377917968,74.15100815100816,73.26913874027473,1.3668893517597296,535
random,99.84825493171472,99.915611814346,99.24812030075188,99.16580629359098,1.0228173300270438,95.87287509238729,97.74631769412659,75.2462624896702,75.04735561185643,12.512086710239151,95.45893719806763,97.51474914814297,73.69722663840312,72.65874604421347,2.8593260030139525,534
random,99.75725387409759,99.86495034535464,98.8014306835988,98.67047526812676,0.4586887846115076,96.11603843311161,97.88631948674963,75.88702147525677,76.26101029477304,11.84610320882579,95.55555555555557,97.56865044463989,74.15873015873017,73.2522886005094,2.565844765495316,533
random,99.84830091506876,99.91558301599665,99.25245871751675,99.17279752096161,0.5752231018524341,95.63118994826311,97.62316313710713,72.81144781144782,73.03660300635256,13.20439495379768,95.45893719806763,97.51726869210552,73.41923436041084,72.58458598591612,2.815309594818248,532
random,99.75725387409759,99.86500705196015,98.79678840868073,98.66455519475676,1.1214915466273667,95.63045084996304,97.61954453491767,73.11914011914011,73.31174850295226,12.271971968084788,95.45893719806763,97.51196440851615,74.02402402402403,72.73792910638245,2.7872682081499356,531
random,99.6966018301375,99.83128038349639,98.4960864049151,98.33148821479125,0.6035769465208253,95.99408721359941,97.82158796751568,74.9183605065958,75.52981961349917,12.180156730729442,95.45893719806763,97.51448395247868,73.74603174603176,72.6637690480851,2.7447709446498134,530
random,99.66616084977238,99.81440286637525,98.34127380867366,98.1590850618845,1.2473097861415012,96.11677753141169,97.88717768438211,75.83411142234671,76.25181951492877,12.438646078796918,95.55555555555557,97.5714425318647,73.84126984126985,73.15496941294907,3.501852248371431,529
random,99.7268588770865,99.84812955918179,98.64421792775207,98.4944401205592,1.3732551369159933,95.75240206947524,97.6916981901637,73.1589061678311,73.69068906804333,14.61400776721486,95.55555555555557,97.5664034439396,74.39725439725439,73.30328952954378,3.54080156129604,528
random,99.69655584678347,99.83130886904094,98.49159757088975,98.32568384643973,0.844922365956487,95.99482631189949,97.81811416673466,75.39441063781834,75.5437039544482,12.352292660209795,95.36231884057972,97.46059000357971,73.2938652938653,72.0520903663978,3.656962847883559,527
random,99.6966018301375,99.83116644119607,98.50513438730249,98.34038612735284,0.5798928982437448,95.75166297117516,97.68642960180276,73.76085134908665,74.0099404018975,13.49378200782124,95.45893719806763,97.51448395247868,73.74603174603176,72.6637690480851,2.7447709446498134,526
random,99.72695084379454,99.84821458360912,98.64178524925813,98.49774352552888,0.6868246073711854,96.11677753141169,97.88803623396394,75.7052207052207,76.40985874377702,10.565466218385891,95.74879227053141,97.67419134173751,75.3015873015873,74.52664689291835,4.049183022866735,525
random,99.69655584678348,99.83125184999658,98.4960864049151,98.33418282167194,0.6036955736993551,95.87361419068736,97.75517633842728,74.2929292929293,74.70766581035416,11.246249632134738,95.45893719806763,97.51195774305593,74.01630201630202,72.75477924614776,1.7536700878192328,524
random,99.69655584678347,99.83136538394612,98.4867473047465,98.3237143359639,1.1957313159205678,95.99482631189949,97.82206140531234,74.93464052287581,75.4058577092994,12.470863734656412,95.45893719806763,97.51196440851614,74.02402402402403,72.73792910638244,2.7872682081499356,523
random,99.72695084379454,99.84818665015902,98.64430411170397,98.49317577153235,0.9157078932241256,96.11677753141169,97.88323044580443,76.29388153728924,76.38966576007758,12.307927376392866,95.26570048309178,97.41145593388339,72.31746031746033,71.33210083714413,2.639637457050943,522
random,99.69655584678347,99.8311948307086,98.50050873769564,98.33716860965541,0.8396914678895042,96.11677753141169,97.88449312062372,76.119825708061,76.38037617354267,12.45890703578175,95.6521739130435,97.61525830491348,75.4054054054054,74.06328832782575,2.1855971904232927,521
random,99.60560077252035,99.780647472104,98.0473231926492,97.83003503374702,0.9458331495868926,96.3592017738359,98.01656810686806,77.63305322128852,77.88787275702423,12.225324641450031,95.3623188405797,97.46561507844663,72.72082166199814,71.93875651495979,1.6917500303240454,520
