Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
SVM RBF,97.42088563939853,98.554567203542,88.0349702978104,86.81688726050074,3.2739967356241135,94.660014781966,97.01237826507466,74.26448474126494,72.66554861364075,10.615654702671767,93.91304347826086,96.5612608589744,73.44721217727694,70.72104927714851,2.043011394363797
SVM Linear,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,94.78344419807836,97.10244539891755,73.40444015444015,71.40842473445795,13.82685313344894,94.58937198067632,96.94072424097126,76.58472479901052,74.27368971134943,5.205987378586584
Logistic,99.05959442681748,99.47415832146012,95.55469665212604,95.15288851434488,1.1619578146389775,93.44863266814487,96.30692642656264,70.36758563074353,68.277112717055,13.602675318098662,93.5265700483092,96.31966000075893,73.11513284559108,70.68270988294985,0.5351837778190764
Random,100.0,100.0,100.0,100.0,0.0,95.14560236511457,97.3786097431421,66.93892952513643,69.46581686121661,12.977332541628648,94.68599033816426,97.12846704851475,64.40322580645162,66.99237570775193,3.5269888649810888
KNN,97.20858049386122,98.46671251866152,84.43396066461658,83.68328191966559,4.025092918906707,95.99630450849963,97.80473712089733,76.87816091954024,76.12220544959084,13.898180893015521,94.39613526570048,96.89923604440557,70.91056910569105,67.94410913092277,6.535897098472279
XGB,100.0,100.0,100.0,100.0,0.0,96.11456023651144,97.85937207864117,78.86787788901248,77.44829310507905,7.496053102255798,95.45893719806763,97.49813187632358,75.41590983696247,73.44446388926904,6.482653674286194
