Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
svclin,100.0,100.0,100.0,100.0,0.0,94.54028085735402,96.96523274289244,72.49650058099074,70.10819071731434,15.492284942534141,94.4927536231884,96.88799639425011,76.04420424296201,73.64573062534012,5.166325117494044
logistic,100.0,100.0,100.0,100.0,0.0,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.58937198067633,96.93205976584724,77.08936170212766,75.04985119673962,2.2086871766083926
random,100.0,100.0,100.0,100.0,0.0,95.63045084996304,97.624055119175,72.64245014245014,73.10737348151426,10.34957850398158,95.45893719806762,97.52505059674559,72.48366013071896,72.46945377664011,4.434497791899368
