Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
svclin,99.9393019726859,99.96624472573839,99.69924812030077,99.66688201486288,0.4561405869256767,94.05321507760532,96.67628365067317,71.54486667332468,68.44061851929116,7.525317206394901,95.94202898550724,97.72906474069768,80.90266909030863,78.80191083995183,5.004960383316712
logistic,99.87860394537178,99.93246091785527,99.40072403230299,99.33594521546344,0.37124794630502606,94.0532150776053,96.66300326020563,72.58346581875995,69.59834433626331,7.330164395644175,94.97584541062801,97.1595672426921,78.22080136402387,76.15165747410623,2.139906367654486
random,99.96965098634294,99.9831223628692,99.84962406015038,99.83344100743145,0.3724372296471813,95.87287509238729,97.75699319716266,74.0148148148148,74.331430117914,13.036866472033086,95.55555555555557,97.57476150550386,73.41923436041084,73.04693493509495,4.346353894576402
