Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
svclin,100.0,100.0,100.0,100.0,0.0,95.26607538802661,97.3740892668885,75.40807776101894,73.9512579902085,5.568297654909771,95.74879227053141,97.65928551272646,76.86398949556843,75.07927313433683,3.743339113822971
logistic,100.0,100.0,100.0,100.0,0.0,94.78122690317812,97.08062140220397,75.04196840445789,72.59848675597313,4.556671206624467,96.03864734299518,97.80158782322926,79.98391852050389,77.85500285650286,3.5333473022312303
random,100.0,100.0,100.0,100.0,0.0,95.2668144863267,97.43260640480628,69.55538714159404,70.41937753271401,11.548747478037829,95.84541062801934,97.73335792638011,75.10941346235464,75.0895440376323,1.768258854473454
