Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
svclin,99.96965098634294,99.9831223628692,99.84962406015038,99.83344100743145,0.3724372296471813,95.51145602365114,97.49077933208136,78.54079254079254,76.28666897251078,6.652626208376037,94.68599033816426,97.06065143782477,72.31147756821697,69.55674469717118,2.463544060165439
logistic,99.96965098634294,99.9831223628692,99.84962406015038,99.83344100743145,0.3724372296471813,95.38728750923872,97.41811311777181,78.34126869420989,75.97846517634491,3.2907974961059048,94.20289855072463,96.76742005794117,71.86920821252124,68.73671789897526,5.038696427239387
random,100.0,100.0,100.0,100.0,0.0,95.75166297117516,97.68363899380851,74.36248298317264,74.20380813381583,3.587794457409997,94.58937198067633,97.07867417036934,63.32993730407524,66.1808913643494,5.797661591765374
