Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
svclin,99.9393019726859,99.96624472573839,99.69924812030077,99.66688201486288,0.4561405869256767,94.05321507760532,96.67628365067317,71.54486667332468,68.44061851929116,7.525317206394901,95.94202898550724,97.72906474069768,80.90266909030863,78.80191083995183,5.004960383316712
logistic,99.87860394537178,99.93246091785527,99.40072403230299,99.33594521546344,0.37124794630502606,94.0532150776053,96.66300326020563,72.58346581875995,69.59834433626331,7.330164395644175,94.97584541062801,97.1595672426921,78.22080136402387,76.15165747410623,2.139906367654486
random,99.93934795603992,99.96630160067397,99.6969523044252,99.66466171654577,0.45919849320396977,95.75166297117516,97.69952241674272,71.85529750602052,72.92654881138739,15.853933681044102,96.03864734299518,97.8324723337058,76.98047981639313,76.37906386714212,4.22407838973563
