,n_estimators,max_samples,max_depth,bootstrap,rank,test_means,test_stds,train_means,train_stds
0,390,1.0,6,True,1,0.7751407684676179,0.029813999968728806,1.0,0.0
1,380,0.6,5,True,2,0.7077426572664577,0.040321851911449026,0.936723331042787,0.008949611904716414
2,400,0.2,3,True,3,0.6802694867093139,0.06452285426957291,0.7667138648306613,0.011808891621369694
3,120,0.6,7,True,5,0.6453046481179104,0.05443803098708404,0.954111565452225,0.004443778676374544
4,90,0.2,2,True,4,0.680197788039948,0.07303588306388885,0.7577658776187657,0.010790084568531219
