,gamma,C,rank,test_means,test_stds,train_means,train_stds
0,0.963,0.1876,2,0.760305674582794,0.037792159782123545,0.9588837889725321,0.025282753712842106
1,2.247,1.0719,1,0.7634414015028452,0.06440265934193246,1.0,0.0
2,4.095000000000001,3.8045000000000004,4,0.7278591391583771,0.04578815669969419,1.0,0.0
3,0.442,3.0880000000000005,3,0.7425292161575774,0.06177967695742998,1.0,0.0
4,1.89,3.9257000000000004,4,0.7278591391583771,0.04578815669969419,1.0,0.0
