,n_estimators,max_samples,max_depth,bootstrap,rank,test_means,test_stds,train_means,train_stds
0,260,0.5,6,True,119,0.6902079703842651,0.0620271016957241,0.9068639859393537,0.00983433855346413
1,420,0.5,2,True,124,0.6813154110802919,0.04354267662299276,0.7654508940147252,0.013486105353434431
2,360,0.30000000000000004,4,True,53,0.734023637464659,0.04003934689968572,0.833016197375618,0.014645842395860795
3,330,0.8,6,True,41,0.74217195422674,0.03815910340775601,0.996646335158637,0.004107537673501007
4,240,0.7000000000000001,2,True,156,0.6543417538942963,0.05403351385174179,0.7585859354074609,0.025474062457296037
5,490,1.0,6,True,16,0.7660455078648709,0.03896173986713925,0.9983344100743144,0.0033311798513711906
6,250,0.8,4,True,9,0.7685108350991027,0.051814817235940815,0.9458901924744036,0.01155605051573591
7,50,1.0,6,True,54,0.7338704025602812,0.03444765459216553,0.9933372501561143,0.0033321205659294422
8,250,0.9,4,True,21,0.7623699518028411,0.06217464624225313,0.9463670404899338,0.00715509724069619
9,230,0.4,4,True,46,0.7421195671776649,0.05028979505705108,0.8777706433408573,0.012745816218335366
10,60,0.1,5,True,199,0.3318340749610936,0.2127391232860207,0.5018450941514548,0.06955970471705487
11,140,0.7000000000000001,3,True,97,0.7043957851476736,0.05717355223063155,0.8675800064210601,0.0008600501262972741
12,120,1.0,6,True,31,0.7502897447530964,0.04743480739661062,0.9983344100743144,0.0033311798513711906
13,120,0.8,6,True,60,0.7322326052162261,0.06436717615888078,1.0,0.0
14,290,0.1,5,True,193,0.4306290630672354,0.056405361013990414,0.5316051178082679,0.05127251940364501
15,360,0.9,7,True,58,0.7328654403764943,0.05286716657315123,1.0,0.0
16,60,0.7000000000000001,3,True,109,0.6921736337995299,0.06983441877578213,0.8658854700889365,0.029414567767026823
17,480,0.2,4,True,161,0.6436393985257313,0.06791604803451476,0.7671266277337452,0.015384053387858263
18,210,0.8,2,True,155,0.6556586957012612,0.05266934189132002,0.7448331091745274,0.03064248131792073
19,350,1.0,7,True,67,0.7247171236144132,0.0528233336995866,1.0,0.0
20,230,0.4,7,True,139,0.670469899567487,0.07104231515505358,0.8558509654727438,0.017388857362972972
21,390,0.7000000000000001,5,True,35,0.7499974573993909,0.04260191031900084,0.9662568623297778,0.01066320325170455
22,340,0.2,2,True,123,0.6858952178974815,0.03968488719487303,0.761892765719955,0.011726606305586388
23,420,0.8,3,True,86,0.7105275994994861,0.07809523389181001,0.8826945748078343,0.01568558124030773
24,440,0.7000000000000001,5,True,24,0.7584488469383761,0.042858751135328346,0.9696718789077723,0.004312540360340895
25,60,0.9,4,True,69,0.7245882374632004,0.046039486278236855,0.951286728150567,0.014621472851690303
26,20,0.7000000000000001,2,True,177,0.6064714709392408,0.10258465680445816,0.7263507487628559,0.016336175136001496
27,70,0.30000000000000004,2,True,129,0.6794234570299192,0.05993629873987142,0.7810479339079935,0.025761184172102294
28,380,0.8,5,True,32,0.750267883939746,0.047435165858679296,0.9781989150219739,0.006831882731427377
29,330,1.0,7,True,49,0.7407651740798933,0.05748738242880191,1.0,0.0
30,270,1.0,7,True,58,0.7328654403764943,0.05286716657315123,1.0,0.0
31,180,0.5,6,True,96,0.7044717007040864,0.08617337604355338,0.9139387510919159,0.009507651139388345
32,330,0.8,3,True,85,0.7133318402982488,0.08377865581718745,0.8786716252483657,0.011517497966284153
33,370,0.9,2,True,160,0.6509759018495269,0.058045535725010845,0.7455342510357228,0.025021779798742518
34,380,0.7000000000000001,7,True,83,0.7153453607928381,0.06979422321142165,0.9932614397751991,0.006324422779056473
35,360,0.6,7,True,111,0.6913663149797844,0.04194361975649389,0.9609864868908486,0.014849544149915952
36,170,0.4,2,True,133,0.6751837003811602,0.09243201136527972,0.7562286095912697,0.008473724282266022
37,290,0.30000000000000004,3,True,64,0.7265913827731987,0.041873772474873436,0.8388360416780737,0.01511377808606634
38,360,0.7000000000000001,2,True,144,0.6654213749942143,0.061630118072987274,0.7549129580248036,0.014154373877181981
39,260,0.30000000000000004,5,True,157,0.6543029442610984,0.05339366488682639,0.8372930864366903,0.009499434250816388
40,190,0.2,4,True,172,0.6168895641289371,0.0582988516787737,0.7568412971682796,0.014959141250024129
41,330,0.9,7,True,67,0.7247171236144132,0.0528233336995866,1.0,0.0
42,20,0.1,4,True,188,0.49913440857556657,0.08545952684911239,0.5450981510821968,0.07786301288439225
43,450,0.4,6,True,126,0.681157677399754,0.052012857471045844,0.8705292291409512,0.01995425185867674
44,460,0.2,7,True,174,0.6083841311844512,0.04608492669797311,0.718046461310067,0.009476256664758377
45,400,0.8,6,True,32,0.750267883939746,0.047435165858679296,0.9983565049231631,0.0032869901536739295
46,490,0.6,5,True,41,0.74217195422674,0.03815910340775601,0.9402867980147835,0.00759722142771511
47,110,1.0,5,True,4,0.7769051065207024,0.014595890673745952,0.9883824962439108,0.00403220723199452
48,230,0.6,3,True,29,0.7508123762878952,0.05395660287655126,0.8714429114329914,0.015148644561679364
49,190,0.7000000000000001,6,True,71,0.7243944872186519,0.04859515989328674,0.9882343165338637,0.004119394758492555
50,50,0.6,4,True,37,0.7471089621925053,0.09646006266775164,0.9073839236161303,0.02260000634025906
51,240,0.2,3,True,61,0.729918649910323,0.08003947575187415,0.7783945575547996,0.02803442525673496
52,220,0.8,4,True,22,0.760177222034943,0.06738408790568136,0.9459461907913678,0.004173650943226421
53,150,0.5,5,True,50,0.7404841219783307,0.05377796232258755,0.9226940077598481,0.005527780010835414
54,330,0.9,4,True,20,0.7624359917311879,0.06096084230661791,0.9379035920744393,0.008485264820979992
55,80,0.7000000000000001,5,True,30,0.7503529172253702,0.034283520305923014,0.962835096584828,0.0038838904764815544
56,130,0.1,3,True,186,0.504345672983617,0.039170320353709404,0.6117932289401733,0.035374348346916114
57,480,0.2,3,True,128,0.680469952328024,0.05564380667406361,0.7807786809183671,0.008723927770619989
58,70,0.6,6,True,84,0.715126904905238,0.06474842130081794,0.954067493772895,0.009021597836083198
