,subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,rank,test_means,test_stds,train_means,train_stds
0,0.75,0.04281332398719392,1.623776739188721,500,3,0.30000000000000004,0.75,1,0.8034126527906424,0.02394269528165672,1.0,0.0
1,1.0,0.8858667904100823,0.4832930238571752,700,7,0.1,0.625,2,0.7944085368453948,0.07410219638425235,1.0,0.0
2,0.5,1.623776739188721,5.455594781168514,500,3,0.7000000000000001,0.875,4,0.7240194546845637,0.0488598889925827,0.9901206517676352,0.006110753848678296
3,0.875,0.0006158482110660267,1.623776739188721,200,5,0.8,0.875,5,0.6580781312614048,0.054979394474034014,1.0,0.0
4,1.0,0.023357214690901212,0.00379269019073225,600,6,0.7000000000000001,0.875,3,0.74278584529526,0.0997859125706989,1.0,0.0
