,weights,n_neighbors,algorithm,rank,test_means,test_stds,train_means,train_stds
0,uniform,14,kd_tree,4,0.6582775334608824,0.095067357790025,0.6729753280599601,0.039463677722947885
1,distance,20,ball_tree,5,0.606995714405205,0.05735035262511242,1.0,0.0
2,distance,2,kd_tree,1,0.7394285654355938,0.046498275553965185,1.0,0.0
3,distance,9,auto,2,0.714598860763608,0.06059888395588508,1.0,0.0
4,uniform,12,ball_tree,3,0.6850667344407999,0.09483240175750454,0.7040570545109814,0.026306782889204593
