,gamma,C,rank,test_means,test_stds,train_means,train_stds
0,0.963,0.1876,193,0.796390903385827,0.02681447919716432,0.8938751715445192,0.035293303105491884
1,2.247,1.0719,50,0.9351816168270609,0.02943589513568509,0.9885254974594171,0.008324363944634719
2,4.095000000000001,3.8045000000000004,124,0.918531349228877,0.03705562438591567,1.0,0.0
3,0.442,3.0880000000000005,80,0.932610295542782,0.03186797920270853,1.0,0.0
4,1.89,3.9257000000000004,124,0.918531349228877,0.03705562438591567,1.0,0.0
5,0.707,0.885,60,0.934618423352353,0.019805086697912932,0.982024672795174,0.006073294225691252
6,2.62,4.0761,160,0.9125649194696397,0.03641316811452379,1.0,0.0
7,4.812,4.9742,168,0.9067560703204316,0.02847153179738776,1.0,0.0
8,2.831,0.07940000000000001,197,0.7289409615197384,0.07542424488378519,0.7895404352153234,0.029760615221189855
9,1.845,4.3351,168,0.9067560703204316,0.02847153179738776,1.0,0.0
10,2.073,1.6893,1,0.9476404053649707,0.026926342606923597,0.995025325071792,0.004062005379372036
11,2.906,3.2616000000000005,124,0.918531349228877,0.03705562438591567,1.0,0.0
12,2.979,1.3534000000000002,67,0.9335568704783646,0.038826339923889785,0.9933952363044363,0.006169352972983173
13,4.378,0.41350000000000003,119,0.922509595750148,0.013209112225660607,0.9545065914368056,0.013577760574650054
14,2.035,4.7642,168,0.9067560703204316,0.02847153179738776,1.0,0.0
15,1.759,2.3002000000000002,28,0.9400002891513211,0.027290949648273916,0.9983344100743144,0.0033311798513711906
16,4.078,4.2175,160,0.9125649194696397,0.03641316811452379,1.0,0.0
17,4.444000000000001,0.42,119,0.922509595750148,0.013209112225660607,0.9545065914368056,0.013577760574650054
18,0.461,2.3651000000000004,28,0.9400002891513211,0.027290949648273916,0.9983344100743144,0.0033311798513711906
19,4.812,2.9189000000000003,80,0.932610295542782,0.03186797920270853,1.0,0.0
20,2.772,1.5808,10,0.9400492292570369,0.04107665199557862,0.995025325071792,0.004062005379372036
21,1.1989999999999998,2.1884,67,0.9335568704783646,0.038826339923889785,0.995025325071792,0.004062005379372036
22,1.3739999999999999,1.4656,67,0.9335568704783646,0.038826339923889785,0.9917651475370806,0.007369366711566678
23,4.644,2.2188000000000003,67,0.9335568704783646,0.038826339923889785,0.9966688201486289,0.004079845438649862
24,4.556,3.3428000000000004,124,0.918531349228877,0.03705562438591567,1.0,0.0
25,4.981000000000001,3.8363000000000005,124,0.918531349228877,0.03705562438591567,1.0,0.0
26,4.936000000000001,3.3194000000000004,124,0.918531349228877,0.03705562438591567,1.0,0.0
27,1.724,3.9236000000000004,124,0.918531349228877,0.03705562438591567,1.0,0.0
28,3.895,2.2899000000000003,28,0.9400002891513211,0.027290949648273916,0.9983344100743144,0.0033311798513711906
29,2.7239999999999998,0.48360000000000003,106,0.9290019545288205,0.022309931761321317,0.9618166477012211,0.005744746771013262
30,2.497,3.0617000000000005,80,0.932610295542782,0.03186797920270853,1.0,0.0
31,1.857,4.8598,168,0.9067560703204316,0.02847153179738776,1.0,0.0
32,3.259,4.5308,168,0.9067560703204316,0.02847153179738776,1.0,0.0
33,1.393,2.2304000000000004,67,0.9335568704783646,0.038826339923889785,0.9966688201486289,0.004079845438649862
34,0.42,4.3841,168,0.9067560703204316,0.02847153179738776,1.0,0.0
35,0.725,1.185,50,0.9351816168270609,0.02943589513568509,0.9901213694687716,0.006167904938660078
36,2.142,1.5751000000000002,10,0.9400492292570369,0.04107665199557862,0.995025325071792,0.004062005379372036
37,1.135,2.8677,80,0.932610295542782,0.03186797920270853,1.0,0.0
38,0.41000000000000003,2.0615,10,0.9400492292570369,0.04107665199557862,0.995025325071792,0.004062005379372036
39,1.9829999999999999,1.7229,1,0.9476404053649707,0.026926342606923597,0.995025325071792,0.004062005379372036
40,4.652,0.484,106,0.9290019545288205,0.022309931761321317,0.9618166477012211,0.005744746771013262
41,2.0749999999999997,1.4992,67,0.9335568704783646,0.038826339923889785,0.9917651475370806,0.007369366711566678
42,2.2239999999999998,4.0165,124,0.918531349228877,0.03705562438591567,1.0,0.0
43,0.93,1.1751,50,0.9351816168270609,0.02943589513568509,0.9901213694687716,0.006167904938660078
44,3.139,1.6082,10,0.9400492292570369,0.04107665199557862,0.995025325071792,0.004062005379372036
45,0.154,4.9336,168,0.9067560703204316,0.02847153179738776,1.0,0.0
46,4.203,1.3723,67,0.9335568704783646,0.038826339923889785,0.9933952363044363,0.006169352972983173
47,0.518,4.9598,168,0.9067560703204316,0.02847153179738776,1.0,0.0
48,1.917,4.7889,168,0.9067560703204316,0.02847153179738776,1.0,0.0
49,3.188,3.3528000000000002,124,0.918531349228877,0.03705562438591567,1.0,0.0
50,2.31,3.1821,80,0.932610295542782,0.03186797920270853,1.0,0.0
51,0.224,3.2218000000000004,124,0.918531349228877,0.03705562438591567,1.0,0.0
52,1.6689999999999998,3.0499000000000005,80,0.932610295542782,0.03186797920270853,1.0,0.0
53,3.395,0.1477,196,0.772984927272551,0.04992323035311632,0.8610335552444432,0.02740982633427508
54,3.945,2.8172,80,0.932610295542782,0.03186797920270853,1.0,0.0
