,subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,rank,test_means,test_stds,train_means,train_stds
16,0.75,2.9763514416313193,0.14384498882876628,800,6,0.7000000000000001,0.875,109,0.7498349510576294,0.04664763090225914,1.0,0.0
17,0.75,5.455594781168514,0.0011288378916846883,800,3,1.0,0.875,143,0.7218730948852421,0.09821283176662093,1.0,0.0
18,0.625,0.0003359818286283781,0.0011288378916846883,100,7,0.4,0.5,94,0.7562881640774533,0.07103447476419793,1.0,0.0
19,0.75,0.04281332398719392,0.8858667904100823,600,6,0.1,0.75,8,0.815018579885207,0.05830711231141349,1.0,0.0
20,1.0,0.0001,0.8858667904100823,700,5,0.6,0.875,97,0.7552162488742675,0.09321063053691606,1.0,0.0
21,0.625,0.0069519279617756054,0.023357214690901212,300,7,0.30000000000000004,0.75,19,0.8037096799287612,0.05013832652731007,1.0,0.0
22,0.5,0.0069519279617756054,0.00206913808111479,100,3,0.1,0.5,30,0.7980119721157475,0.04266101688586903,1.0,0.0
23,0.5,2.9763514416313193,0.00018329807108324357,700,3,0.8,0.75,129,0.7340454809821113,0.04830562293065577,1.0,0.0
24,0.625,0.4832930238571752,0.0069519279617756054,500,6,0.2,0.625,24,0.8008357048443919,0.045185014383052884,1.0,0.0
25,1.0,0.0006158482110660267,1.623776739188721,500,6,0.6,0.5,105,0.7510106075194389,0.09337970956049738,1.0,0.0
26,1.0,0.0006158482110660267,0.023357214690901212,900,7,0.6,0.875,76,0.7664317490779469,0.08883041318021109,1.0,0.0
27,0.75,0.0011288378916846883,0.00018329807108324357,500,4,0.9,0.5,195,0.6143118014537237,0.10285724274130738,1.0,0.0
28,1.0,10.0,0.0011288378916846883,600,5,0.7000000000000001,0.75,67,0.7717648213135722,0.06823521367126828,1.0,0.0
29,1.0,0.4832930238571752,0.00379269019073225,400,7,0.5,0.75,39,0.7929270722698419,0.0945528187243304,1.0,0.0
30,0.875,0.0011288378916846883,0.023357214690901212,100,4,0.1,0.5,15,0.8088389600592226,0.06058465120862256,1.0,0.0
