,gamma,C,rank,test_means,test_stds,train_means,train_stds
23,4.644,2.2188000000000003,132,0.2074052671304964,0.11141421836488191,1.0,0.0
24,4.556,3.3428000000000004,132,0.2074052671304964,0.11141421836488191,1.0,0.0
25,4.981000000000001,3.8363000000000005,189,0.14138267794108275,0.1154741037874888,1.0,0.0
26,4.936000000000001,3.3194000000000004,189,0.14138267794108275,0.1154741037874888,1.0,0.0
27,1.724,3.9236000000000004,54,0.24597855251219455,0.12813673220770375,1.0,0.0
28,3.895,2.2899000000000003,132,0.2074052671304964,0.11141421836488191,1.0,0.0
29,2.7239999999999998,0.48360000000000003,101,0.2266919098213455,0.12160612518967813,1.0,0.0
30,2.497,3.0617000000000005,101,0.2266919098213455,0.12160612518967813,1.0,0.0
31,1.857,4.8598,54,0.24597855251219455,0.12813673220770375,1.0,0.0
32,3.259,4.5308,132,0.2074052671304964,0.11141421836488191,1.0,0.0
33,1.393,2.2304000000000004,54,0.24597855251219455,0.12813673220770375,1.0,0.0
34,0.42,4.3841,13,0.6831003957865743,0.11396362848575745,1.0,0.0
35,0.725,1.185,26,0.5217353046804997,0.09179272426767204,1.0,0.0
36,2.142,1.5751000000000002,54,0.24597855251219455,0.12813673220770375,1.0,0.0
37,1.135,2.8677,43,0.3075050977863799,0.06793054164043141,1.0,0.0
38,0.41000000000000003,2.0615,13,0.6831003957865743,0.11396362848575745,1.0,0.0
39,1.9829999999999999,1.7229,54,0.24597855251219455,0.12813673220770375,1.0,0.0
40,4.652,0.484,132,0.2074052671304964,0.11141421836488191,1.0,0.0
41,2.0749999999999997,1.4992,54,0.24597855251219455,0.12813673220770375,1.0,0.0
42,2.2239999999999998,4.0165,54,0.24597855251219455,0.12813673220770375,1.0,0.0
43,0.93,1.1751,32,0.39060338971245095,0.12559863915671748,1.0,0.0
44,3.139,1.6082,101,0.2266919098213455,0.12160612518967813,1.0,0.0
45,0.154,4.9336,4,0.7662022219299314,0.049884241530804264,1.0,0.0
46,4.203,1.3723,132,0.2074052671304964,0.11141421836488191,1.0,0.0
47,0.518,4.9598,17,0.6344878701413129,0.1327855342783229,1.0,0.0
48,1.917,4.7889,54,0.24597855251219455,0.12813673220770375,1.0,0.0
49,3.188,3.3528000000000002,101,0.2266919098213455,0.12160612518967813,1.0,0.0
50,2.31,3.1821,54,0.24597855251219455,0.12813673220770375,1.0,0.0
51,0.224,3.2218000000000004,7,0.7490702049070346,0.06343258386135037,1.0,0.0
52,1.6689999999999998,3.0499000000000005,54,0.24597855251219455,0.12813673220770375,1.0,0.0
53,3.395,0.1477,194,0.11524484309193743,0.14461963777657372,0.6049413282919645,0.3255406118957764
54,3.945,2.8172,132,0.2074052671304964,0.11141421836488191,1.0,0.0
55,0.9440000000000001,0.851,35,0.3778927228613419,0.1205324943257225,1.0,0.0
56,0.808,0.7793,30,0.4460355906640797,0.12003745633850094,1.0,0.0
57,0.127,2.6252000000000004,2,0.7751222269529588,0.03777328633611827,0.9983344100743144,0.0033311798513711906
58,4.611000000000001,2.3671,132,0.2074052671304964,0.11141421836488191,1.0,0.0
59,2.501,4.3548,101,0.2266919098213455,0.12160612518967813,1.0,0.0
60,0.751,1.6305,28,0.49944855225704654,0.09345472036960217,1.0,0.0
61,1.5799999999999998,2.0811,54,0.24597855251219455,0.12813673220770375,1.0,0.0
62,0.328,3.5641000000000003,11,0.6947909888708141,0.09385720110819766,1.0,0.0
63,2.877,3.8361000000000005,101,0.2266919098213455,0.12160612518967813,1.0,0.0
64,1.2919999999999998,1.4203000000000001,54,0.24597855251219455,0.12813673220770375,1.0,0.0
65,0.805,3.4786000000000006,30,0.4460355906640797,0.12003745633850094,1.0,0.0
66,3.473,4.804,132,0.2074052671304964,0.11141421836488191,1.0,0.0
67,3.971,3.4988000000000006,132,0.2074052671304964,0.11141421836488191,1.0,0.0
68,0.9450000000000001,3.5050000000000003,35,0.3778927228613419,0.1205324943257225,1.0,0.0
69,3.8569999999999998,3.8867000000000003,132,0.2074052671304964,0.11141421836488191,1.0,0.0
70,4.572,2.3160000000000003,132,0.2074052671304964,0.11141421836488191,1.0,0.0
71,4.182,2.4150000000000005,132,0.2074052671304964,0.11141421836488191,1.0,0.0
72,1.5559999999999998,1.333,54,0.24597855251219455,0.12813673220770375,1.0,0.0
73,2.7199999999999998,4.3012,101,0.2266919098213455,0.12160612518967813,1.0,0.0
74,4.128,3.232,132,0.2074052671304964,0.11141421836488191,1.0,0.0
75,1.9229999999999998,2.4327000000000005,54,0.24597855251219455,0.12813673220770375,1.0,0.0
76,2.176,3.9725000000000006,54,0.24597855251219455,0.12813673220770375,1.0,0.0
77,1.9449999999999998,1.9677,54,0.24597855251219455,0.12813673220770375,1.0,0.0
78,2.897,1.1582000000000001,101,0.2266919098213455,0.12160612518967813,1.0,0.0
79,1.008,2.7243000000000004,42,0.3206494345031839,0.09019885872626586,1.0,0.0
80,1.1969999999999998,4.9555,52,0.29205876453147406,0.04736114648022133,1.0,0.0
81,2.223,2.9975000000000005,54,0.24597855251219455,0.12813673220770375,1.0,0.0
82,4.758,4.531,183,0.18746288996036223,0.09379725397757405,1.0,0.0
83,0.543,3.7870000000000004,17,0.6344878701413129,0.1327855342783229,1.0,0.0
84,4.995,1.635,189,0.14138267794108275,0.1154741037874888,1.0,0.0
85,0.9460000000000001,1.9947000000000001,35,0.3778927228613419,0.1205324943257225,1.0,0.0
86,2.3289999999999997,3.2591000000000006,54,0.24597855251219455,0.12813673220770375,1.0,0.0
87,3.287,4.6176,132,0.2074052671304964,0.11141421836488191,1.0,0.0
88,3.089,1.8867,101,0.2266919098213455,0.12160612518967813,1.0,0.0
89,2.738,4.8283,101,0.2266919098213455,0.12160612518967813,1.0,0.0
90,2.695,1.6086,101,0.2266919098213455,0.12160612518967813,1.0,0.0
91,4.821000000000001,1.0009000000000001,183,0.18746288996036223,0.09379725397757405,1.0,0.0
92,0.973,4.5991,39,0.3672240347550494,0.10198253061250445,1.0,0.0
93,4.868,2.8555,189,0.14138267794108275,0.1154741037874888,1.0,0.0
94,1.283,3.4522000000000004,54,0.24597855251219455,0.12813673220770375,1.0,0.0
95,4.329000000000001,3.2278000000000002,132,0.2074052671304964,0.11141421836488191,1.0,0.0
96,1.1689999999999998,2.3566000000000003,43,0.3075050977863799,0.06793054164043141,1.0,0.0
97,3.637,4.4958,132,0.2074052671304964,0.11141421836488191,1.0,0.0
98,0.625,0.7902,23,0.5420370190911749,0.0977950023779039,1.0,0.0
99,4.050000000000001,0.0109,197,0.0,0.0,0.0,0.0
100,2.122,2.6676,54,0.24597855251219455,0.12813673220770375,1.0,0.0
101,3.073,3.5246000000000004,101,0.2266919098213455,0.12160612518967813,1.0,0.0
102,2.453,1.4491,101,0.2266919098213455,0.12160612518967813,1.0,0.0
103,4.479,0.6396000000000001,132,0.2074052671304964,0.11141421836488191,1.0,0.0
104,0.594,4.921,22,0.5803368085649938,0.11240333101724317,1.0,0.0
105,2.03,0.059500000000000004,197,0.0,0.0,0.0,0.0
106,1.1649999999999998,0.8397,43,0.3075050977863799,0.06793054164043141,1.0,0.0
107,4.696000000000001,4.544,132,0.2074052671304964,0.11141421836488191,1.0,0.0
108,2.113,2.632,54,0.24597855251219455,0.12813673220770375,1.0,0.0
109,0.541,2.2753,17,0.6344878701413129,0.1327855342783229,1.0,0.0
110,4.36,2.4528000000000003,132,0.2074052671304964,0.11141421836488191,1.0,0.0
111,2.531,3.8775000000000004,101,0.2266919098213455,0.12160612518967813,1.0,0.0
112,0.985,1.7405000000000002,40,0.3472767686870156,0.11470274958818576,1.0,0.0
113,0.846,1.5723,32,0.39060338971245095,0.12559863915671748,1.0,0.0
114,0.9550000000000001,2.5329,35,0.3778927228613419,0.1205324943257225,1.0,0.0
115,4.433000000000001,2.7181,132,0.2074052671304964,0.11141421836488191,1.0,0.0
116,4.093000000000001,2.9909000000000003,132,0.2074052671304964,0.11141421836488191,1.0,0.0
117,3.032,1.8803,101,0.2266919098213455,0.12160612518967813,1.0,0.0
118,2.088,0.06230000000000001,197,0.0,0.0,0.0,0.0
119,2.187,1.4926000000000001,54,0.24597855251219455,0.12813673220770375,1.0,0.0
120,4.633,3.1894000000000005,132,0.2074052671304964,0.11141421836488191,1.0,0.0
121,0.655,2.6519000000000004,23,0.5420370190911749,0.0977950023779039,1.0,0.0
122,0.094,2.5259000000000005,1,0.7836452901168018,0.03173149466388674,0.9983344100743144,0.0033311798513711906
123,1.051,1.5681,43,0.3075050977863799,0.06793054164043141,1.0,0.0
124,2.905,1.3207,101,0.2266919098213455,0.12160612518967813,1.0,0.0
125,4.364000000000001,3.1415,132,0.2074052671304964,0.11141421836488191,1.0,0.0
126,1.2939999999999998,3.6520000000000006,54,0.24597855251219455,0.12813673220770375,1.0,0.0
127,2.3209999999999997,2.7459000000000002,54,0.24597855251219455,0.12813673220770375,1.0,0.0
128,0.225,0.4452,6,0.7577680006145789,0.06002088166475529,0.9835196587542343,0.011601025595126652
129,4.057,2.1538000000000004,132,0.2074052671304964,0.11141421836488191,1.0,0.0
130,3.162,3.2471000000000005,101,0.2266919098213455,0.12160612518967813,1.0,0.0
131,1.7029999999999998,1.6095000000000002,54,0.24597855251219455,0.12813673220770375,1.0,0.0
132,0.514,3.2951000000000006,17,0.6344878701413129,0.1327855342783229,1.0,0.0
133,1.5379999999999998,1.8475000000000001,54,0.24597855251219455,0.12813673220770375,1.0,0.0
134,4.79,1.325,183,0.18746288996036223,0.09379725397757405,1.0,0.0
135,4.433000000000001,2.2593000000000005,132,0.2074052671304964,0.11141421836488191,1.0,0.0
136,3.979,1.3986,132,0.2074052671304964,0.11141421836488191,1.0,0.0
137,3.886,2.9491000000000005,132,0.2074052671304964,0.11141421836488191,1.0,0.0
138,3.797,0.6003000000000001,132,0.2074052671304964,0.11141421836488191,1.0,0.0
139,4.993,4.6426,189,0.14138267794108275,0.1154741037874888,1.0,0.0
140,4.349,1.8542,132,0.2074052671304964,0.11141421836488191,1.0,0.0
141,4.2540000000000004,3.6816000000000004,132,0.2074052671304964,0.11141421836488191,1.0,0.0
142,0.656,1.1838,23,0.5420370190911749,0.0977950023779039,1.0,0.0
143,2.676,1.1194,101,0.2266919098213455,0.12160612518967813,1.0,0.0
144,0.318,4.0802,11,0.6947909888708141,0.09385720110819766,1.0,0.0
145,1.968,3.3009000000000004,54,0.24597855251219455,0.12813673220770375,1.0,0.0
146,3.807,4.0378,132,0.2074052671304964,0.11141421836488191,1.0,0.0
147,3.34,0.8759,132,0.2074052671304964,0.11141421836488191,1.0,0.0
148,0.296,1.6559000000000001,8,0.7088589703439534,0.053191280933058756,1.0,0.0
149,2.502,1.1452,101,0.2266919098213455,0.12160612518967813,1.0,0.0
150,3.862,3.5959000000000003,132,0.2074052671304964,0.11141421836488191,1.0,0.0
151,3.175,4.203,101,0.2266919098213455,0.12160612518967813,1.0,0.0
152,2.8529999999999998,0.1788,195,0.09530246592180325,0.11672120868904007,1.0,0.0
153,3.435,1.2841,132,0.2074052671304964,0.11141421836488191,1.0,0.0
154,1.0719999999999998,1.9926000000000001,43,0.3075050977863799,0.06793054164043141,1.0,0.0
155,3.826,1.6036000000000001,132,0.2074052671304964,0.11141421836488191,1.0,0.0
156,4.986000000000001,0.1532,196,0.06758625033664688,0.13517250067329376,0.4227222958231668,0.29527473558633777
157,3.566,4.2707,132,0.2074052671304964,0.11141421836488191,1.0,0.0
158,0.896,3.0905000000000005,32,0.39060338971245095,0.12559863915671748,1.0,0.0
159,0.753,4.7579,28,0.49944855225704654,0.09345472036960217,1.0,0.0
160,1.597,3.9405000000000006,54,0.24597855251219455,0.12813673220770375,1.0,0.0
161,0.585,0.6645,21,0.6284817430046628,0.1188620666799556,1.0,0.0
162,1.6059999999999999,0.4658,54,0.24597855251219455,0.12813673220770375,1.0,0.0
163,4.6290000000000004,0.5145000000000001,132,0.2074052671304964,0.11141421836488191,1.0,0.0
164,0.052000000000000005,2.5889,3,0.772411252984876,0.03776577399625187,0.995081920386362,0.006525096763100723
165,1.295,1.8704,54,0.24597855251219455,0.12813673220770375,1.0,0.0
166,2.451,2.9923,101,0.2266919098213455,0.12160612518967813,1.0,0.0
167,3.524,3.0384,132,0.2074052671304964,0.11141421836488191,1.0,0.0
168,2.2479999999999998,2.8165000000000004,54,0.24597855251219455,0.12813673220770375,1.0,0.0
169,3.15,3.9514000000000005,101,0.2266919098213455,0.12160612518967813,1.0,0.0
170,2.181,4.4931,54,0.24597855251219455,0.12813673220770375,1.0,0.0
171,1.0539999999999998,4.1589,43,0.3075050977863799,0.06793054164043141,1.0,0.0
172,3.983,3.4166000000000003,132,0.2074052671304964,0.11141421836488191,1.0,0.0
173,3.305,0.326,132,0.2074052671304964,0.11141421836488191,1.0,0.0
174,1.823,2.9143000000000003,54,0.24597855251219455,0.12813673220770375,1.0,0.0
175,1.073,2.4328000000000003,43,0.3075050977863799,0.06793054164043141,1.0,0.0
176,2.288,3.9261000000000004,54,0.24597855251219455,0.12813673220770375,1.0,0.0
177,1.373,2.2658000000000005,54,0.24597855251219455,0.12813673220770375,1.0,0.0
178,2.809,2.2758000000000003,101,0.2266919098213455,0.12160612518967813,1.0,0.0
179,1.5579999999999998,0.9001,54,0.24597855251219455,0.12813673220770375,1.0,0.0
180,2.391,2.5821000000000005,101,0.2266919098213455,0.12160612518967813,1.0,0.0
181,3.568,4.7878,132,0.2074052671304964,0.11141421836488191,1.0,0.0
182,4.2010000000000005,2.5958000000000006,132,0.2074052671304964,0.11141421836488191,1.0,0.0
183,1.623,2.5199000000000003,54,0.24597855251219455,0.12813673220770375,1.0,0.0
184,3.274,3.2796000000000003,132,0.2074052671304964,0.11141421836488191,1.0,0.0
185,1.3499999999999999,1.1766,54,0.24597855251219455,0.12813673220770375,1.0,0.0
186,2.658,3.5123,101,0.2266919098213455,0.12160612518967813,1.0,0.0
187,0.301,3.5577000000000005,10,0.6989548761029977,0.06737677240226748,1.0,0.0
188,4.781000000000001,0.5207,183,0.18746288996036223,0.09379725397757405,1.0,0.0
189,1.027,1.2599,43,0.3075050977863799,0.06793054164043141,1.0,0.0
190,3.984,3.99,132,0.2074052671304964,0.11141421836488191,1.0,0.0
191,1.293,0.6382,54,0.24597855251219455,0.12813673220770375,1.0,0.0
192,3.02,2.9574000000000003,101,0.2266919098213455,0.12160612518967813,1.0,0.0
193,4.613,2.6184000000000003,132,0.2074052671304964,0.11141421836488191,1.0,0.0
194,2.706,2.8419000000000003,101,0.2266919098213455,0.12160612518967813,1.0,0.0
195,2.351,0.4103,54,0.24597855251219455,0.12813673220770375,1.0,0.0
196,0.28500000000000003,4.1004,9,0.7071031928650785,0.07045637007492425,1.0,0.0
197,1.079,3.9047000000000005,43,0.3075050977863799,0.06793054164043141,1.0,0.0
198,3.388,4.9557,132,0.2074052671304964,0.11141421836488191,1.0,0.0
199,0.20800000000000002,2.632,5,0.7583767187572803,0.04881857060229083,1.0,0.0
