,n_estimators,max_samples,max_depth,bootstrap,rank,test_means,test_stds,train_means,train_stds
0,260,0.5,6,True,131,0.6632986339091994,0.05073335877257406,0.9121013305345173,0.013140270151406251
1,420,0.5,2,True,105,0.6798147819694765,0.057309654904231656,0.776161002133669,0.03178652694147111
2,360,0.30000000000000004,4,True,115,0.6706391554840657,0.07028145460880178,0.8276260546295857,0.009275211169078883
3,330,0.8,6,True,79,0.6987405392479322,0.061042471263596285,1.0,0.0
4,240,0.7000000000000001,2,True,152,0.648823653052325,0.04143812781373997,0.769382314915891,0.019155719071029982
5,490,1.0,6,True,32,0.7328654403764943,0.05286716657315123,1.0,0.0
6,250,0.8,4,True,15,0.7535481266442816,0.027047953690731437,0.9322775227630229,0.0053689096836952045
7,50,1.0,6,True,10,0.7591361669935635,0.01993217406580167,0.9933515836803476,0.006239051188920248
8,250,0.9,4,True,3,0.7689500217720588,0.04065097336747915,0.9426074397461497,0.006344874990115871
9,230,0.4,4,True,56,0.7151945462533666,0.06495860646809576,0.8742224140872936,0.00952324185393781
10,60,0.1,5,True,191,0.39283029980301815,0.1178780216059458,0.46926132028493905,0.06971294572715216
11,140,0.7000000000000001,3,True,35,0.7281680466979642,0.04093093082846043,0.8843946394665976,0.007717502738387747
12,120,1.0,6,True,34,0.730331253166459,0.08618669652347737,0.9934163304606765,0.006106606197686139
13,120,0.8,6,True,79,0.6987405392479322,0.061042471263596285,0.9898484356872551,0.009871266188760719
14,290,0.1,5,True,193,0.37661416042861534,0.03658866618169769,0.4659930462242231,0.07272499046041961
15,360,0.9,7,True,106,0.6788509173536961,0.07641564845402098,1.0,0.0
16,60,0.7000000000000001,3,True,63,0.7088807934109157,0.03688061806588749,0.8641452624114198,0.01371803384878249
17,480,0.2,4,True,173,0.586761839129414,0.06140984342357612,0.7386023461416671,0.01713412283739693
18,210,0.8,2,True,127,0.665719634149192,0.06129092870753128,0.754611639847969,0.018492196199221652
19,350,1.0,7,True,72,0.7044717007040864,0.08617337604355338,1.0,0.0
20,230,0.4,7,True,159,0.6418888161260381,0.08638771595362796,0.8614085265951473,0.015035149456923866
21,390,0.7000000000000001,5,True,41,0.7249162585835534,0.03890590696500628,0.9609858415731063,0.008716682739439222
22,340,0.2,2,True,52,0.717366044413519,0.04769537242738932,0.7868729815403684,0.024496040792721076
23,420,0.8,3,True,62,0.7133367272283027,0.0603176719248696,0.8848395919321316,0.016227630356300673
24,440,0.7000000000000001,5,True,43,0.7244360715128507,0.04866779222004623,0.9695637476963522,0.008752371396457058
25,60,0.9,4,True,47,0.7214569907863739,0.033403521646468745,0.9379364573841322,0.011571117286420638
26,20,0.7000000000000001,2,True,169,0.6088247717492725,0.03705494421158594,0.7361764558220185,0.04842161289519911
27,70,0.30000000000000004,2,True,16,0.7523472061609894,0.04331432187113559,0.786261446802074,0.028171670616489744
28,380,0.8,5,True,17,0.750267883939746,0.047435165858679296,0.97814828427965,0.00853621714298432
29,330,1.0,7,True,68,0.7057056504923518,0.06614640343897693,1.0,0.0
30,270,1.0,7,True,59,0.714574900227868,0.06625348165716047,1.0,0.0
