,gamma,C,rank,test_means,test_stds,train_means,train_stds
0,0.963,0.1876,36,0.760305674582794,0.037792159782123545,0.9588837889725321,0.025282753712842106
1,2.247,1.0719,22,0.7634414015028452,0.06440265934193246,1.0,0.0
2,4.095000000000001,3.8045000000000004,144,0.7278591391583771,0.04578815669969419,1.0,0.0
3,0.442,3.0880000000000005,90,0.7425292161575774,0.06177967695742998,1.0,0.0
4,1.89,3.9257000000000004,144,0.7278591391583771,0.04578815669969419,1.0,0.0
5,0.707,0.885,22,0.7634414015028452,0.06440265934193246,1.0,0.0
6,2.62,4.0761,144,0.7278591391583771,0.04578815669969419,1.0,0.0
7,4.812,4.9742,144,0.7278591391583771,0.04578815669969419,1.0,0.0
8,2.831,0.07940000000000001,197,0.692701662827625,0.03973843893092262,0.882569731738705,0.034986354881318266
9,1.845,4.3351,144,0.7278591391583771,0.04578815669969419,1.0,0.0
10,2.073,1.6893,51,0.757631265691197,0.06818599555487315,1.0,0.0
11,2.906,3.2616000000000005,90,0.7425292161575774,0.06177967695742998,1.0,0.0
12,2.979,1.3534000000000002,12,0.7634669124647591,0.0579368294531565,1.0,0.0
13,4.378,0.41350000000000003,31,0.7630492898435242,0.061525360504697986,0.9933597351461062,0.003320408109895577
14,2.035,4.7642,144,0.7278591391583771,0.04578815669969419,1.0,0.0
15,1.759,2.3002000000000002,37,0.7584537480126327,0.06711332644400064,1.0,0.0
16,4.078,4.2175,144,0.7278591391583771,0.04578815669969419,1.0,0.0
17,4.444000000000001,0.42,74,0.7544269543998982,0.06907042458823673,0.9933597351461062,0.003320408109895577
18,0.461,2.3651000000000004,37,0.7584537480126327,0.06711332644400064,1.0,0.0
19,4.812,2.9189000000000003,90,0.7425292161575774,0.06177967695742998,1.0,0.0
20,2.772,1.5808,51,0.757631265691197,0.06818599555487315,1.0,0.0
21,1.1989999999999998,2.1884,37,0.7584537480126327,0.06711332644400064,1.0,0.0
22,1.3739999999999999,1.4656,51,0.757631265691197,0.06818599555487315,1.0,0.0
23,4.644,2.2188000000000003,37,0.7584537480126327,0.06711332644400064,1.0,0.0
24,4.556,3.3428000000000004,90,0.7425292161575774,0.06177967695742998,1.0,0.0
25,4.981000000000001,3.8363000000000005,144,0.7278591391583771,0.04578815669969419,1.0,0.0
26,4.936000000000001,3.3194000000000004,90,0.7425292161575774,0.06177967695742998,1.0,0.0
27,1.724,3.9236000000000004,144,0.7278591391583771,0.04578815669969419,1.0,0.0
28,3.895,2.2899000000000003,37,0.7584537480126327,0.06711332644400064,1.0,0.0
29,2.7239999999999998,0.48360000000000003,33,0.7614949412859109,0.0636797677554896,0.995025325071792,0.004062005379372036
30,2.497,3.0617000000000005,90,0.7425292161575774,0.06177967695742998,1.0,0.0
31,1.857,4.8598,144,0.7278591391583771,0.04578815669969419,1.0,0.0
32,3.259,4.5308,144,0.7278591391583771,0.04578815669969419,1.0,0.0
33,1.393,2.2304000000000004,37,0.7584537480126327,0.06711332644400064,1.0,0.0
34,0.42,4.3841,144,0.7278591391583771,0.04578815669969419,1.0,0.0
35,0.725,1.185,12,0.7634669124647591,0.0579368294531565,1.0,0.0
36,2.142,1.5751000000000002,51,0.757631265691197,0.06818599555487315,1.0,0.0
37,1.135,2.8677,90,0.7425292161575774,0.06177967695742998,1.0,0.0
38,0.41000000000000003,2.0615,79,0.7525615102090226,0.05855668756364171,1.0,0.0
39,1.9829999999999999,1.7229,51,0.757631265691197,0.06818599555487315,1.0,0.0
40,4.652,0.484,33,0.7614949412859109,0.0636797677554896,0.995025325071792,0.004062005379372036
41,2.0749999999999997,1.4992,51,0.757631265691197,0.06818599555487315,1.0,0.0
42,2.2239999999999998,4.0165,144,0.7278591391583771,0.04578815669969419,1.0,0.0
43,0.93,1.1751,4,0.769359150268369,0.06560087414179432,1.0,0.0
44,3.139,1.6082,51,0.757631265691197,0.06818599555487315,1.0,0.0
45,0.154,4.9336,144,0.7278591391583771,0.04578815669969419,1.0,0.0
46,4.203,1.3723,12,0.7634669124647591,0.0579368294531565,1.0,0.0
47,0.518,4.9598,144,0.7278591391583771,0.04578815669969419,1.0,0.0
48,1.917,4.7889,144,0.7278591391583771,0.04578815669969419,1.0,0.0
49,3.188,3.3528000000000002,90,0.7425292161575774,0.06177967695742998,1.0,0.0
50,2.31,3.1821,90,0.7425292161575774,0.06177967695742998,1.0,0.0
51,0.224,3.2218000000000004,90,0.7425292161575774,0.06177967695742998,1.0,0.0
52,1.6689999999999998,3.0499000000000005,90,0.7425292161575774,0.06177967695742998,1.0,0.0
53,3.395,0.1477,75,0.7543532378659303,0.03141941657141546,0.9311657612447757,0.02112154148170023
54,3.945,2.8172,90,0.7425292161575774,0.06177967695742998,1.0,0.0
55,0.9440000000000001,0.851,22,0.7634414015028452,0.06440265934193246,1.0,0.0
56,0.808,0.7793,7,0.76442879810968,0.06593229659290524,0.9983565049231631,0.0032869901536739295
57,0.127,2.6252000000000004,90,0.7425292161575774,0.06177967695742998,1.0,0.0
58,4.611000000000001,2.3671,37,0.7584537480126327,0.06711332644400064,1.0,0.0
59,2.501,4.3548,144,0.7278591391583771,0.04578815669969419,1.0,0.0
60,0.751,1.6305,51,0.757631265691197,0.06818599555487315,1.0,0.0
61,1.5799999999999998,2.0811,79,0.7525615102090226,0.05855668756364171,1.0,0.0
62,0.328,3.5641000000000003,144,0.7278591391583771,0.04578815669969419,1.0,0.0
63,2.877,3.8361000000000005,144,0.7278591391583771,0.04578815669969419,1.0,0.0
64,1.2919999999999998,1.4203000000000001,51,0.757631265691197,0.06818599555487315,1.0,0.0
65,0.805,3.4786000000000006,137,0.7358182527061186,0.05809140148769215,1.0,0.0
66,3.473,4.804,144,0.7278591391583771,0.04578815669969419,1.0,0.0
67,3.971,3.4988000000000006,137,0.7358182527061186,0.05809140148769215,1.0,0.0
68,0.9450000000000001,3.5050000000000003,137,0.7358182527061186,0.05809140148769215,1.0,0.0
69,3.8569999999999998,3.8867000000000003,144,0.7278591391583771,0.04578815669969419,1.0,0.0
70,4.572,2.3160000000000003,37,0.7584537480126327,0.06711332644400064,1.0,0.0
71,4.182,2.4150000000000005,79,0.7525615102090226,0.05855668756364171,1.0,0.0
72,1.5559999999999998,1.333,12,0.7634669124647591,0.0579368294531565,1.0,0.0
