,penalty,C,rank,test_means,test_stds,train_means,train_stds
0,l2,4.269,44,0.7646548033614382,0.023623438093074333,0.9983344100743144,0.0033311798513711906
1,l2,1.039,80,0.7283960736494939,0.07350481793460234,0.9530005022703472,0.014183283010499446
2,l2,3.217,55,0.752352900788756,0.034383761697678206,0.9933597351461062,0.003320408109895577
3,l1,4.638000000000001,161,0.6989731399547757,0.059783580599882785,0.9983344100743144,0.0033311798513711906
4,l1,2.971,134,0.7077226487096336,0.047833494374847595,0.9869165028483018,0.008316814981188775
5,l2,7.62,7,0.7774964936958154,0.04011476052220265,1.0,0.0
6,l1,0.855,189,0.6546843841789955,0.02795581826143559,0.8023614910971981,0.014510050718780606
7,l1,9.818999999999999,109,0.7088575593921765,0.05425500713299339,1.0,0.0
8,l1,7.573,88,0.7135054387799784,0.058943717608994424,1.0,0.0
9,l2,8.674,7,0.7774964936958154,0.04011476052220265,1.0,0.0
10,l1,5.3660000000000005,156,0.6991366880173155,0.059535038217170766,1.0,0.0
11,l1,8.317,109,0.7088575593921765,0.05425500713299339,1.0,0.0
12,l2,5.48,7,0.7774964936958154,0.04011476052220265,1.0,0.0
13,l2,7.414000000000001,7,0.7774964936958154,0.04011476052220265,1.0,0.0
14,l1,6.9030000000000005,88,0.7135054387799784,0.058943717608994424,1.0,0.0
15,l2,5.412000000000001,7,0.7774964936958154,0.04011476052220265,1.0,0.0
16,l1,5.831,131,0.7087112426955147,0.06110154505792134,1.0,0.0
17,l1,0.14400000000000002,198,0.5133770714430239,0.0997381595932764,0.5623146954736077,0.013852752337256776
18,l2,9.895,1,0.7828103345451762,0.04929552424917609,1.0,0.0
19,l1,5.8660000000000005,131,0.7087112426955147,0.06110154505792134,1.0,0.0
20,l1,2.576,134,0.7077226487096336,0.047833494374847595,0.972652942554868,0.01074349694073331
21,l1,6.897,88,0.7135054387799784,0.058943717608994424,1.0,0.0
22,l2,8.151,7,0.7774964936958154,0.04011476052220265,1.0,0.0
23,l1,9.641,109,0.7088575593921765,0.05425500713299339,1.0,0.0
24,l1,3.4859999999999998,134,0.7077226487096336,0.047833494374847595,0.9933952363044363,0.006169352972983174
25,l2,6.821000000000001,7,0.7774964936958154,0.04011476052220265,1.0,0.0
26,l2,5.525,7,0.7774964936958154,0.04011476052220265,1.0,0.0
27,l2,7.106000000000001,7,0.7774964936958154,0.04011476052220265,1.0,0.0
28,l1,6.756,88,0.7135054387799784,0.058943717608994424,1.0,0.0
29,l1,0.199,197,0.5607971479224347,0.08826506517638401,0.5894456655720791,0.024525438664918377
30,l1,8.754999999999999,109,0.7088575593921765,0.05425500713299339,1.0,0.0
31,l1,8.291,109,0.7088575593921765,0.05425500713299339,1.0,0.0
32,l1,2.225,155,0.7025686509688143,0.05239324383722026,0.9574723691912089,0.01223470594804452
33,l2,4.011,50,0.7597416434171101,0.023159573015953557,0.9966909149974775,0.004052935453069011
34,l2,8.549999999999999,7,0.7774964936958154,0.04011476052220265,1.0,0.0
35,l1,2.4819999999999998,134,0.7077226487096336,0.047833494374847595,0.9710436685930208,0.008013541959541555
36,l2,2.109,71,0.7425469933388176,0.04871137033236738,0.9884768736993264,0.003958588895484737
37,l2,0.062,190,0.6224652874169779,0.08353969963735926,0.7018966030250485,0.007602862468173333
38,l2,8.424,7,0.7774964936958154,0.04011476052220265,1.0,0.0
39,l1,0.375,191,0.5967784703119385,0.06531334820129273,0.6873051633469177,0.02280754816484229
40,l2,7.787000000000001,7,0.7774964936958154,0.04011476052220265,1.0,0.0
41,l2,0.457,176,0.6884590422844203,0.07263020334944799,0.8801848532486998,0.02335581194040727
42,l1,4.766,161,0.6989731399547757,0.059783580599882785,0.9983344100743144,0.0033311798513711906
43,l2,3.199,55,0.752352900788756,0.034383761697678206,0.9933597351461062,0.003320408109895577
44,l1,7.639,88,0.7135054387799784,0.058943717608994424,1.0,0.0
45,l1,9.440999999999999,109,0.7088575593921765,0.05425500713299339,1.0,0.0
46,l1,0.5690000000000001,192,0.593164149314097,0.05986892870638043,0.7560616704845489,0.01673383513806306
47,l2,6.706,7,0.7774964936958154,0.04011476052220265,1.0,0.0
48,l2,7.069000000000001,7,0.7774964936958154,0.04011476052220265,1.0,0.0
49,l1,2.472,134,0.7077226487096336,0.047833494374847595,0.9710436685930208,0.008013541959541555
50,l1,1.728,177,0.6829972418413552,0.05797117233397654,0.9228522177823283,0.013278531640327804
51,l1,8.682,109,0.7088575593921765,0.05425500713299339,1.0,0.0
52,l2,3.116,55,0.752352900788756,0.034383761697678206,0.9933597351461062,0.003320408109895577
53,l2,1.041,80,0.7283960736494939,0.07350481793460234,0.9545008077817609,0.014452711168002999
54,l1,5.434,156,0.6991366880173155,0.059535038217170766,1.0,0.0
55,l1,6.176,105,0.7132740860082389,0.06328231024441806,1.0,0.0
56,l2,2.81,65,0.7472934241477661,0.04290388184829758,0.9933597351461062,0.003320408109895577
57,l2,8.389,7,0.7774964936958154,0.04011476052220265,1.0,0.0
58,l2,4.340000000000001,44,0.7646548033614382,0.023623438093074333,0.9983344100743144,0.0033311798513711906
59,l2,6.078,7,0.7774964936958154,0.04011476052220265,1.0,0.0
60,l1,4.489000000000001,161,0.6989731399547757,0.059783580599882785,0.9983344100743144,0.0033311798513711906
61,l2,5.463,7,0.7774964936958154,0.04011476052220265,1.0,0.0
62,l1,6.118,105,0.7132740860082389,0.06328231024441806,1.0,0.0
63,l2,9.741999999999999,1,0.7828103345451762,0.04929552424917609,1.0,0.0
64,l2,7.3340000000000005,7,0.7774964936958154,0.04011476052220265,1.0,0.0
65,l1,0.443,195,0.5865323501315001,0.0493675281862235,0.7101972849992927,0.019849091154758212
66,l1,9.705,109,0.7088575593921765,0.05425500713299339,1.0,0.0
67,l1,1.559,183,0.6704571500850577,0.045986725987636326,0.9040999161582249,0.01435529248622905
68,l1,9.014999999999999,109,0.7088575593921765,0.05425500713299339,1.0,0.0
69,l1,4.531000000000001,161,0.6989731399547757,0.059783580599882785,0.9983344100743144,0.0033311798513711906
70,l1,6.712000000000001,88,0.7135054387799784,0.058943717608994424,1.0,0.0
71,l1,9.919,109,0.7088575593921765,0.05425500713299339,1.0,0.0
72,l1,4.498,161,0.6989731399547757,0.059783580599882785,0.9983344100743144,0.0033311798513711906
73,l1,7.202000000000001,88,0.7135054387799784,0.058943717608994424,1.0,0.0
74,l1,1.9229999999999998,170,0.6945030796819152,0.05643425270159856,0.9424258189506418,0.00983437740626707
75,l2,0.368,181,0.6776327474657755,0.06695382839562315,0.8580185944433513,0.024635494400265065
76,l1,9.788,109,0.7088575593921765,0.05425500713299339,1.0,0.0
77,l1,2.578,134,0.7077226487096336,0.047833494374847595,0.972652942554868,0.01074349694073331
78,l1,6.4430000000000005,84,0.7229814420370309,0.06428888146601948,1.0,0.0
79,l1,1.2879999999999998,186,0.6629624574855197,0.04042066249935148,0.8800951926147714,0.008737319272066616
80,l2,8.622,7,0.7774964936958154,0.04011476052220265,1.0,0.0
81,l1,8.756,109,0.7088575593921765,0.05425500713299339,1.0,0.0
82,l2,4.514,44,0.7646548033614382,0.023623438093074333,0.9983344100743144,0.0033311798513711906
83,l2,8.208,7,0.7774964936958154,0.04011476052220265,1.0,0.0
84,l2,1.281,74,0.7361584554122584,0.05891148543040658,0.9679673628516839,0.0084465426588873
85,l1,2.053,170,0.6945030796819152,0.05643425270159856,0.9468490030944517,0.010454808228242771
86,l2,3.415,55,0.752352900788756,0.034383761697678206,0.9933597351461062,0.003320408109895577
87,l2,9.783,1,0.7828103345451762,0.04929552424917609,1.0,0.0
88,l1,5.6850000000000005,152,0.7037980827511866,0.056231472331741056,1.0,0.0
