Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
SVM RBF,97.26946245459143,98.46512027482697,87.64256934737162,86.5474817742825,0.7746553101836274,95.02512934220252,97.21431670105736,76.72666249136839,74.13728300424626,5.74544761471989,92.56038647342994,95.84716486297296,64.22047623638292,60.19140895478337,3.0125128382171362
SVM Linear,99.84834689842278,99.9155547712023,99.25698232509379,99.17725523923676,0.5750487089104438,95.26829268292681,97.3519466832701,77.59123335593924,75.26111776958956,5.533378498265732,94.97584541062801,97.22238859180035,73.71794871794872,71.11879807186675,1.8154128057977923
Logistic,98.51335816434451,99.16728582639499,93.07450572486206,92.46485390929246,0.7638358458858693,94.05395417590539,96.64911138278799,73.55781345255029,70.7420450912281,4.1144183147217595,92.27053140096618,95.64433010477144,65.63019650716228,61.71774678369583,3.692467923634466
Random,100.0,100.0,100.0,100.0,0.0,95.50923872875092,97.56426958485321,71.22507122507122,72.61420332401781,3.5174137803287597,94.4927536231884,97.02676240208878,62.70967741935483,65.61160844085343,1.9727549772123887
KNN,96.96620223479101,98.32388924902457,84.02891931191527,82.55346012074102,2.2610949665022417,95.87139689578713,97.72927360996115,77.20203785832263,75.61351321512697,8.331880510306853,95.26570048309178,97.41394902594081,72.005772005772,71.34096850147733,2.6499857556570863
XGB,100.0,100.0,100.0,100.0,0.0,95.62971175166298,97.59731108123424,75.84427141268074,74.02788034538149,10.037871818490604,94.58937198067632,97.04315531754249,68.16049663108485,66.90769702089392,2.6788164009466273
