Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
SVM RBF,97.63346668506001,98.67164301654952,89.16485743233464,88.18595430319985,1.165445991879232,95.62971175166297,97.56116232840306,78.72538109607075,76.79907830088973,3.144918939125676,92.56038647342996,95.84842523089026,64.1971387155732,60.10119672452434,1.4776064224635501
SVM Linear,99.96965098634294,99.9831223628692,99.84962406015038,99.83344100743145,0.3724372296471813,95.75092387287509,97.62441449900413,79.70104540489936,77.77935836949818,3.2691346104959678,92.56038647342996,95.85328661436317,63.77250656320423,59.73386987482341,2.221324948262974
Logistic,98.84719731457213,99.35509718222818,94.57260418354608,94.07393554553491,1.532031203546157,94.90169992609017,97.1349692911198,76.67873303167421,74.40563990152788,2.009417517598152,92.46376811594203,95.76868097474478,65.49159492825534,61.549992657792416,1.8439897530093519
Random,100.0,100.0,100.0,100.0,0.0,95.99408721359941,97.82304470546447,74.81415800036488,75.72126369389049,5.267013611387192,94.29951690821255,96.92558746736293,60.90322580645161,64.17091190558702,1.610747693902069
KNN,96.75375913919162,98.211554527344,82.43983025291615,81.07551267405647,2.038533712592395,95.87435328898744,97.72480641176294,77.88440860215056,76.05265697632682,3.1641064886671684,93.91304347826086,96.68953488620416,62.15211891208096,61.746897338753136,3.1793658368614586
XGB,100.0,100.0,100.0,100.0,0.0,96.24094604582407,97.93116279954852,79.27039627039628,77.94210479433578,9.193918231039806,94.68599033816426,97.09173683617846,69.2080147374265,67.68563082529485,2.510004716720044
