Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
SVM RBF,97.36041752885455,98.51508063218606,88.13050644928187,87.15059807280387,1.9704612376490371,94.66149297856614,97.00530240486968,75.39404951169658,72.84428545176067,12.166319733738696,93.62318840579711,96.45445540579979,68.31007751937985,64.81857278553043,2.6632571307478825
SVM Linear,99.93934795603992,99.96624472573839,99.70147591200222,99.66909149974774,0.4531319590740595,94.78344419807834,97.09591940276871,74.22222222222221,71.661511986656,11.330308976653598,94.58937198067632,97.0107460625919,71.4941094941095,68.79857315330526,3.145448090013987
Logistic,98.81684830091508,99.33761487486854,94.46495014903896,93.99163056281427,1.2697600414966503,94.2978566149298,96.79154461933872,74.262037156774,71.78410639089,9.104550408934058,93.91304347826087,96.59934380416237,70.97743990426918,67.68333314591814,3.612589804497656
Random,100.0,100.0,100.0,100.0,0.0,95.14708056171472,97.37564588397518,67.66701704093009,69.83314583374423,8.778091568749353,95.45893719806763,97.5360927365961,71.03825254441954,72.45048856114568,3.80093221500679
KNN,96.72350209224261,98.19124592429534,82.60065492460222,81.08423014386287,4.268418656267073,95.75388026607538,97.6565658067141,77.37894798934843,75.43488892764017,9.974970980852579,94.8792270531401,97.19754305689683,70.3003003003003,68.96163270427068,3.65657109064292
XGB,100.0,100.0,100.0,100.0,0.0,95.63266814486326,97.60137061078532,75.18939393939395,74.29551105855963,10.606614836325464,95.16908212560386,97.33445372747603,74.23769923769923,71.93355411973695,4.8391475130807935
