Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std,Num Features
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,571
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,570
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,569
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.26829268292684,97.36668220716491,76.1865847195833,74.73439205310613,11.580809443838374,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,568
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.26829268292684,97.36668220716491,76.1865847195833,74.73439205310613,11.580809443838374,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,567
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.26829268292684,97.36668220716491,76.1865847195833,74.73439205310613,11.580809443838374,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,566
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,565
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,564
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,563
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,562
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,561
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,560
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,559
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,558
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,557
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,556
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,555
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,554
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,553
logistic,99.96969696969697,99.9831223628692,99.85185185185185,99.8356504923163,0.36749667124936736,95.39024390243902,97.43586242162357,76.68569345398615,75.2762214554836,11.974306622076714,94.3961352657005,96.81916210948889,76.45444305381727,74.40110589182072,1.7318342581411503,552
