Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
svcrbf,98.51550749737933,98.51113438361199,98.51973669369184,97.03943645287484,0.9696138299250956,95.26311899482631,97.3677229182019,76.17733990147784,73.71830655759189,14.342330668695473,93.42995169082126,96.35185867763411,66.98373983739836,63.36689480039437,1.4794581336884514
svclin,100.0,100.0,100.0,100.0,0.0,95.02291204730228,97.24014981820089,74.27441839206546,72.0608549938564,7.672665849942534,92.94685990338165,96.05148291209363,66.94330739357953,63.160421434291244,1.4196735257242323
logistic,99.52753976573538,99.52576651267971,99.529294790218,99.05765996814874,0.6898875864067991,94.53584626755358,96.94415604534811,73.79746865473352,71.2949467951546,11.788956849523771,93.52657004830918,96.39537736121017,68.27755719417658,64.68796263023742,3.6318143374958467
random,100.0,100.0,100.0,100.0,0.0,96.72135994087213,98.21428701252837,79.86243386243386,80.3769603994791,9.439584328402853,95.26570048309179,97.41924076599159,71.38579067990834,71.22729536726479,4.191735916885378
knn,86.21727017911674,83.95764982774953,87.91145878744972,75.38296909699281,3.477872501992502,66.51071692535109,77.33518324627299,34.66055875086353,32.422198129239845,6.264853164520705,66.08695652173914,76.83987025276151,35.69373610824775,33.709032509037655,3.309524217051876
xgb,100.0,100.0,100.0,100.0,0.0,96.59719142645972,98.1257044720132,81.45129870129871,79.98260941947319,15.887960454211816,94.4927536231884,96.96279894032355,70.46562707666686,67.84513212078126,4.085849633871702
