Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
svcrbf,98.80235631921974,98.8026206584864,98.80208264677717,97.60540530152184,0.6986453974154307,95.99556541019956,97.7767160375856,79.76807927472063,77.79912117778443,7.776024483402322,94.20289855072464,96.76979837339067,71.72971756295635,68.55693118105333,1.7016817565070546
svclin,100.0,100.0,100.0,100.0,0.0,95.02586844050259,97.22620985170323,75.90883626177745,73.32727836595492,6.989058734283408,93.42995169082126,96.29511463204013,70.9837242328322,67.79688796375424,4.6016876165707545
logistic,99.71320814912721,99.71236566779473,99.71404503581034,99.42797076621117,0.25479076819001567,95.51071692535109,97.48489379572618,79.0479474690001,76.92611004622037,6.199616145033107,92.85024154589374,95.94332722026095,69.86505895320485,66.86804026609968,4.13351969611951
random,100.0,100.0,100.0,100.0,0.0,96.84626755358462,98.27632368306024,81.44163709236012,81.47268761016315,5.319332139753067,96.32850241545894,97.98881348783861,78.90095525389643,78.44024510856079,3.2647653348834607
knn,86.72439724716284,84.68413626168622,88.28389848590241,76.18758976727557,1.3325840995835772,70.50776053215078,80.5278205409482,39.128111900781526,38.34016307815021,2.24209325046554,65.31400966183575,76.13555229791227,36.48893537002825,36.295656570198396,2.4514766016056164
xgb,100.0,100.0,100.0,100.0,0.0,95.50923872875093,97.50276908416103,77.64512774806893,75.36582450158909,3.8408477556877254,95.26570048309178,97.37518638126446,75.84007523061766,73.35852755996162,4.387059288882489
