Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std
svcrbf,98.54926279567933,98.54581496494795,98.55264842243392,97.10301097592165,0.6698540318865653,94.9039172209904,97.15877200106968,75.16461916461917,72.58181306820077,10.10335842659922,94.87922705314011,97.15183487560897,74.65737514518003,71.81507405072335,3.4137501650901325
svclin,100.0,100.0,100.0,100.0,0.0,94.90243902439025,97.15793833210356,75.2124197641439,72.53974679331424,9.91038951052986,94.78260869565217,97.09519755549704,74.30780601512308,71.58487149248248,6.569957114393966
logistic,99.54454559956245,99.54278832289097,99.54628669031885,99.0921588299932,0.28029353368183385,94.29416112342942,96.795659166285,73.82580423227583,70.99026850495515,8.667332189364409,94.39613526570047,96.86075205640422,73.91304347826086,70.92369875091713,3.704387733765239
random,100.0,100.0,100.0,100.0,0.0,96.6031042128603,98.14216335540839,80.1904761904762,79.80867456431731,6.319789813213989,96.81159420289855,98.25494548449694,81.55555555555554,81.34422148077788,2.7538507959653487
knn,86.11628913905474,83.83641739350209,87.82665856097901,75.20981443835875,2.953592388789291,66.99113082039912,77.57111982435336,36.83603752988159,36.15434495347343,2.4195220880854156,71.78743961352657,81.49583003980845,40.47982942594756,39.74738290009165,4.625500944985519
xgb,100.0,100.0,100.0,100.0,0.0,95.38950480413897,97.4496644295302,76.0,73.60220964229418,7.350916638107031,95.36231884057972,97.43108098322209,76.11924019497832,73.76097676737358,3.746394770088659
